provider_id,hospital_name,state,control_type,operating_costs,gross_charges,ccr,markup
330135,BON SECOURS COMMUNITY HOSPITAL,NY,Government (nonfederal),86027490.0,304791335.0,0.28225044521032727,3.5429527817212842
450447,NAVARRO REGIONAL HOSPITAL,TX,Nonprofit,59641311.0,262354812.0,0.22733073026310643,4.398877348621663
50150,SIERRA NEVADA MEMORIAL HOSPITAL,CA,Government (nonfederal),177673005.0,433681915.0,0.40968506837551666,2.4408993082545094
160153,MERCYONE SIOUXLAND MEDICAL CENTER,IA,Government (nonfederal),176687893.0,229334435.0,0.7704376928828852,1.2979634943068792
420106,PH BAPTIST PARKRIDGE HOSPITAL,SC,Government (nonfederal),128307454.0,472294659.0,0.271668229896286,3.6809604140379877
310073,JERSEY SHORE UNIVERSITY MED CTR,NJ,Government (nonfederal),942335838.0,1387299797.0,0.6792589749077863,1.4721925464963586
670060,BAYLOR SCOTT AND WHITE MC AT SUNNYVA,TX,Nonprofit,86100775.0,304737254.0,0.282541021387559,3.5393090712598116
100084,LEESBURG REGIONAL MEDICAL CENTER INC,FL,Government (nonfederal),260888304.0,335277895.0,0.7781255725194767,1.2851396166843878
670090,CRESCENT MEDICAL CENTER LANCASTER,TX,Nonprofit,40810560.0,146193799.0,0.2791538374346507,3.5822541763700375
310108,JFK UNIVERSITY MEDICAL CENTER,NJ,Government (nonfederal),663976276.0,1331101854.0,0.4988170319233888,2.0047430941644064
330153,ELLIS HOSPITAL,NY,Government (nonfederal),392383468.0,677302689.0,0.5793325117006881,1.7261244273420815
140275,GENESIS MEDICAL CENTER - SILVIS,IL,Government (nonfederal),93869337.0,255829213.0,0.36692188471845866,2.7253757315874085
440148,ST THOMAS DEKALB HOSPITAL,TN,Government (nonfederal),13691821.0,55669037.0,0.2459503835139092,4.06586070618364
201302,LINCOLN HOSPITAL,ME,Government (nonfederal),104892021.0,135145405.0,0.7761419709386346,1.2884240737434165
450822,MEDICAL CITY LAS COLINAS,TX,Nonprofit,88315426.0,608655089.0,0.1450992977732254,6.89183211322561
50295,MERCY HOSPITAL,CA,Government (nonfederal),292860398.0,702571491.0,0.4168407083856467,2.3989979382599897
520198,AURORA MEDICAL CENTER OSHKOSH,WI,Government (nonfederal),174520884.0,572001722.0,0.3051055220424669,3.2775545762190843
510012,PLEASANT VALLEY HOSPITAL,WV,Government (nonfederal),51543970.0,116109986.0,0.443923660450704,2.2526395619118977
100071,TGH BROOKSVILLE,FL,Government (nonfederal),126171878.0,623987493.0,0.20220257523655205,4.9455354306448545
160082,IOWA METHODIST MEDICAL CENTER,IA,Government (nonfederal),802427621.0,1534874084.0,0.5227970355123932,1.912788198999446
521308,AMERY REGIONAL MEDICAL CENTER,WI,Government (nonfederal),62208336.0,109159490.0,0.5698848171606519,1.7547405543848655
54093,LLU  BEHAVIORAL MEDICINE CENTER,CA,Government (nonfederal),50135915.0,52904320.0,0.9476714755997242,1.0552180009081313
120026,PALI MOMI MEDICAL CENTER,HI,Government (nonfederal),243780281.0,454989139.0,0.5357936269331475,1.866390247536059
60010,POUDRE VALLEY HOSPITAL,CO,Government (nonfederal),536512723.0,1788314328.0,0.30001030277491575,3.333218861987733
390042,UPMC WASHINGTON,PA,Government (nonfederal),228731109.0,390960702.0,0.5850488497434712,1.7092589797219058
70007,LAWRENCE & MEMORIAL HOSPITAL,CT,Government (nonfederal),386626975.0,818261813.0,0.4724978837549639,2.116411595440282
30139,ARIZONA GENERAL HOSPITAL,AZ,Government (nonfederal),113792898.0,587070403.0,0.19383177455123726,5.159112856058908
160079,MERCY MEDICAL CENTER,IA,Government (nonfederal),338556066.0,1093725773.0,0.3095438311482489,3.2305602611769477
180093,BAPTIST HEALTH DEACONESSMADISONVILLE,KY,Government (nonfederal),188417789.0,1010814362.0,0.1864019706122854,5.36475015105925
330218,OSWEGO HOSPITAL,NY,Government (nonfederal),109633634.0,226408666.0,0.4842289649814023,2.065138751124495
390104,UPMC KANE,PA,Government (nonfederal),21132122.0,51282050.0,0.4120763893019097,2.4267345229220236
190079,ST. CHARLES PARISH HOSPITAL,LA,Other,71395093.0,161536737.0,0.44197434172512723,2.2625747822753026
510038,STONEWALL JACKSON MEMORIAL HOSPITAL,WV,Government (nonfederal),22206361.0,52537741.0,0.42267445416048627,2.3658870086818817
50541,KFH - REDWOOD CITY,CA,Government (nonfederal),362043956.0,570102341.0,0.6350508144992866,1.5746771394797154
100200,BROWARD HEALTH IMPERIAL POINT,FL,Other,135643009.0,329006166.0,0.4122810543313647,2.425529840612722
50492,CLOVIS COMMUNITY MEDICAL CENTER,CA,Government (nonfederal),609845652.0,1527478076.0,0.39925001974300023,2.5046961817151727
450229,HENDRICK MEDICAL CENTER,TX,Government (nonfederal),634187570.0,3124868674.0,0.2029485511748581,4.92735717604809
224018,HUMAN RESOURCE INSTITUTE,MA,Nonprofit,18949732.0,22821620.0,0.830341229062617,1.2043241561411
140059,JERSEY COMMUNITY HOSPITAL DIST,IL,Other,47851990.0,131520184.0,0.36383761446075835,2.748478882487437
340096,LEXINGTON MEMORIAL HOSPITAL  INC.,NC,Government (nonfederal),99045806.0,342494654.0,0.28918934892338494,3.457942015232831
450222,CONROE REGIONAL MEDICAL CENTER,TX,Nonprofit,209946485.0,1041569244.0,0.2015674773515106,4.961117801043442
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,NY,Government (nonfederal),381596723.0,704380271.0,0.5417481702862742,1.8458761004611668
450647,MEDICAL CITY DALLAS,TX,Nonprofit,814885964.0,2387726860.0,0.3412810642838771,2.9301361975600306
430005,PRAIRIE LAKES HEALTH CARE CENTER,SD,Government (nonfederal),96110464.0,189617667.0,0.5068645001312035,1.972913865029306
361312,MERCY HEALTH - URBANA HOSPITAL,OH,Government (nonfederal),26694974.0,108121367.0,0.24689822872846215,4.050251818937902
310091,SALEM MEDICAL CENTER,NJ,Nonprofit,52290747.0,219777394.0,0.23792595793541896,4.202988226578595
100049,HCA FLORIDA HIGHLANDS HOSPITAL,FL,Nonprofit,84451053.0,407529483.0,0.20722685479911646,4.825629385580307
50309,SUTTER ROSEVILLE MEDICAL CENTER,CA,Government (nonfederal),820223336.0,1373076398.0,0.5973617616577807,1.6740274724395308
50025,UCSD MEDICAL CENTER,CA,Other,2713947460.0,5354463371.0,0.5068570409312825,1.9729428995651965
450023,CITIZENS MEDICAL CENTER,TX,For-profit,130042430.0,405432908.0,0.32074956776818914,3.117697108551417
50054,SAN GORGONIO MEMORIAL,CA,Other,97393106.0,306733143.0,0.3175173867663854,3.1494338315896813
50278,PROVIDENCE HOLY CROSS MED. CENTER,CA,Government (nonfederal),495066807.0,929131244.0,0.5328276389336446,1.8767795191730556
220002,MOUNT AUBURN HOSPITAL,MA,Government (nonfederal),317685995.0,418783629.0,0.758592201320267,1.3182313214657133
330270,HOSPITAL FOR SPECIAL SURGERY,NY,Government (nonfederal),849014860.0,1523544242.0,0.5572630164552845,1.7944847773335793
230021,COREWELL HEALTH LAKELAND HOSPITALS,MI,Government (nonfederal),439020934.0,904174229.0,0.4855490456585442,2.059524179774079
10108,PRATTVILLE BAPTIST HOSPITAL,AL,Other,60875293.0,143521577.0,0.42415429284197453,2.3576326277394672
100067,ST. ANTHONYS HOSPITAL,FL,Government (nonfederal),415900270.0,1063283870.0,0.3911469756425441,2.5565837454253155
490077,SENTARA MARTHA JEFFERSON HOSPITAL,VA,Government (nonfederal),256811752.0,617787661.0,0.41569582594819743,2.4056051025266165
