provider_id,hospital_name,state,control_type,operating_costs,gross_charges,ccr,markup
340132,MARIA PARHAM MEDICAL CENTER,NC,For-profit,110141981.0,496562042.0,0.22180910275860352,4.508381250197416
50708,FRESNO SURGICAL HOSPITAL,CA,For-profit,90878138.0,259168339.0,0.3506529321855167,2.851822723304476
450651,MEDICAL CITY PLANO,TX,For-profit,628437511.0,2152543292.0,0.2919511599769488,3.425230439498701
360125,ASHTABULA COUNTY MEDICAL CENTER,OH,Nonprofit,122201560.0,360559372.0,0.3389221567647949,2.950530025966935
340187,DAVIE MEDICAL CENTER,NC,Nonprofit,86812935.0,510435410.0,0.17007623942077216,5.879716081480254
50118,DOCTORS HOSPITAL OF MANTECA,CA,For-profit,95942803.0,897397948.0,0.10691221571636578,9.353468107451478
500084,EVERGREEN HEALTH MONROE,WA,Government,49835041.0,151920614.0,0.32803343593648193,3.0484697303650257
420080,HILTON HEAD HOSPITAL,SC,For-profit,109659022.0,567663689.0,0.19317603737025357,5.176625494617306
452111,THE HEART HOSPITAL CORINTH,TX,For-profit,49368137.0,244348323.0,0.20204000745280334,4.9495147649586215
330078,SISTERS OF CHARITY HOSPITAL,NY,Nonprofit,340896322.0,450158461.0,0.7572807167563157,1.3205142794119087
450743,TEXAS HEALTH DENTON,TX,Nonprofit,266616199.0,476693781.0,0.5593028682704799,1.7879400531098262
10065,RUSSELL MEDICAL CENTER,AL,Nonprofit,64278630.0,196485420.0,0.327141983359376,3.056776723461592
50498,SUTTER AUBURN FAITH HOSPITAL,CA,Nonprofit,157529534.0,461826817.0,0.3411008806792612,2.931684016788877
230193,MCLAREN LAPEER REGION,MI,Nonprofit,114269023.0,267704757.0,0.4268471889724395,2.342758780741479
160057,SOUTHEAST IOWA REGIONAL MEDICAL CTR,IA,Nonprofit,270925133.0,548704166.0,0.49375446695624325,2.0252981328240227
490041,MARY IMMACULATE HOSPITAL,VA,Nonprofit,150478938.0,549425509.0,0.27388414905213293,3.651178804837126
160013,TRINITY MUSCATINE,IA,Nonprofit,47640614.0,140305634.0,0.33954883094715926,2.945084502899144
240076,BUFFALO HOSPITAL,MN,Nonprofit,87873899.0,197001875.0,0.4460561555568951,2.241870194015176
30147,BANNER OCOTILLO MEDICAL CENTER,AZ,Nonprofit,92872070.0,239082387.0,0.3884521614718528,2.574319566689964
270023,COMMUNITY MEDICAL CENTER,MT,For-profit,173687170.0,404294284.0,0.4296058016986458,2.327715305626777
450654,STARR COUNTY MEMORIAL HOSPITAL,TX,Government,42228981.0,58061906.0,0.7273095891822773,1.3749303114844282
320005,SAN JUAN REGIONAL MEDICAL CENTER,NM,Nonprofit,247830184.0,601192369.0,0.41223108738427783,2.4258238415382043
340091,THE MOSES H. CONE MEMORIAL HOSPITAL,NC,Nonprofit,1299790268.0,2463653456.0,0.5275864853616004,1.8954238361784685
263031,SSM SELECT REHAB ST LOUIS  LLC,MO,For-profit,146663921.0,321278823.0,0.45650043046877076,2.1905784381695343
50586,CHINO VALLEY MEDICAL CENTER,CA,For-profit,64536004.0,183231606.0,0.3522100002769173,2.8392152386751435
260191,BARNES JEWISH ST. PETERS HOSPITAL,MO,Nonprofit,171514113.0,493149621.0,0.3477932572516364,2.875271383644097
330136,MARY IMOGENE BASSETT HOSPITAL,NY,Nonprofit,504828544.0,847042142.0,0.5959898793323556,1.6778808410643278
490020,TRICITIES HOSPITAL,VA,For-profit,93068740.0,894164327.0,0.10408460412668644,9.607568846424696
