state,wiser_phys_pymt,wiser_hopd_pymt,wiser_pilot_pymt
Arizona,26439457.170063876,10926787.519999972,37366244.69006385
New Jersey,17225186.440097068,6112525.4699999895,23337711.910097055
Ohio,14829445.07002847,16000012.99999998,30829458.07002845
Oklahoma,10511198.199976308,6899907.149999996,17411105.349976305
Texas,46102267.57962135,36960259.32999994,83062526.9096213
Washington,10020153.700009668,6466678.379999991,16486832.080009658
