payer_class,low_value_paid_usd
Medicare FFS phys,1631745332.1940517
Medicare FFS hopd,458084255.42499954
Medicare Advantage equivalent,2003123891.9625163
Commercial phys,1516707286.274371
Commercial hopd,756297105.7066742
Medicaid phys,367142699.74366164
Medicaid hopd,68712638.31374992
