measure_key,measure_name,measure_desc,hcpcs_cd,diagnosis_restricted
preopec,Preop echocardiogram,Preoperative echocardiography,93303,True
preopec,Preop echocardiogram,Preoperative echocardiography,93304,True
preopec,Preop echocardiogram,Preoperative echocardiography,93306,True
preopec,Preop echocardiogram,Preoperative echocardiography,93307,True
preopec,Preop echocardiogram,Preoperative echocardiography,93308,True
preopec,Preop echocardiogram,Preoperative echocardiography,93312,True
preopec,Preop echocardiogram,Preoperative echocardiography,93315,True
preopec,Preop echocardiogram,Preoperative echocardiography,93318,True
pft,Preop pulmonary function,Preoperative pulmonary function testing,94010,True
preopst,Preop stress test,Routine preoperative stress tests,0146T,True
preopst,Preop stress test,Routine preoperative stress tests,0147T,True
preopst,Preop stress test,Routine preoperative stress tests,0148T,True
preopst,Preop stress test,Routine preoperative stress tests,0149T,True
preopst,Preop stress test,Routine preoperative stress tests,75552,True
preopst,Preop stress test,Routine preoperative stress tests,75553,True
preopst,Preop stress test,Routine preoperative stress tests,75554,True
preopst,Preop stress test,Routine preoperative stress tests,75555,True
preopst,Preop stress test,Routine preoperative stress tests,75556,True
preopst,Preop stress test,Routine preoperative stress tests,75557,True
preopst,Preop stress test,Routine preoperative stress tests,75558,True
preopst,Preop stress test,Routine preoperative stress tests,75559,True
preopst,Preop stress test,Routine preoperative stress tests,75560,True
preopst,Preop stress test,Routine preoperative stress tests,75561,True
preopst,Preop stress test,Routine preoperative stress tests,75562,True
preopst,Preop stress test,Routine preoperative stress tests,75563,True
preopst,Preop stress test,Routine preoperative stress tests,75564,True
preopst,Preop stress test,Routine preoperative stress tests,75574,True
preopst,Preop stress test,Routine preoperative stress tests,78451,True
preopst,Preop stress test,Routine preoperative stress tests,78452,True
preopst,Preop stress test,Routine preoperative stress tests,78453,True
preopst,Preop stress test,Routine preoperative stress tests,78454,True
preopst,Preop stress test,Routine preoperative stress tests,78460,True
preopst,Preop stress test,Routine preoperative stress tests,78461,True
preopst,Preop stress test,Routine preoperative stress tests,78464,True
preopst,Preop stress test,Routine preoperative stress tests,78465,True
preopst,Preop stress test,Routine preoperative stress tests,78472,True
preopst,Preop stress test,Routine preoperative stress tests,78473,True
preopst,Preop stress test,Routine preoperative stress tests,78481,True
preopst,Preop stress test,Routine preoperative stress tests,78483,True
preopst,Preop stress test,Routine preoperative stress tests,78491,True
preopst,Preop stress test,Routine preoperative stress tests,78492,True
preopst,Preop stress test,Routine preoperative stress tests,93015,True
preopst,Preop stress test,Routine preoperative stress tests,93016,True
preopst,Preop stress test,Routine preoperative stress tests,93017,True
preopst,Preop stress test,Routine preoperative stress tests,93018,True
preopst,Preop stress test,Routine preoperative stress tests,93350,True
preopst,Preop stress test,Routine preoperative stress tests,93351,True
