control_set,n_control_states,mean_gap_usd_pmpy,mean_gap_pct,national_persistence_savings
neighboring_no_cap,10,156.84953126331084,0.015584856015533197,3302164318.003203
all_no_cap_in_avraham_2014,29,-493.8416220379038,-0.053126034617904175,0.0
midwest_no_cap,5,-517.9562831772998,-0.05604733683103402,0.0
