YEAR,ffs_avg_risk_score,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_DUAL_PCT,geo_lvl,geo_desc,geo_cd,ffs_risk_score_yoy_pct,weight_ma_share,weight_risk_index,combined_weight,combined_weight_norm,coding_overpayment_bn,coding_overpayment_per_enrollee_usd
2023,1.04,2682940.0,3330516.0,0.5538,73.0,0.306,State,CA,06,0.9708737864077666,0.10459082260059113,1.0814204433980774,0.11310665375210092,0.10794305345370286,3.02240549670368,907.488658425205
2023,1.11,1963380.0,2729100.0,0.5816,74.0,0.1119,State,FL,12,0.9090909090909038,0.08570408127727752,1.1542083578575635,0.09892036691273765,0.09440440592225728,2.643323365823204,968.5696258192093
2023,1.01,1819291.0,2375786.0,0.5663,73.0,0.1075,State,TX,48,0.0,0.0746086828776586,1.0502256229154405,0.07835595045008956,0.0747788062618076,2.093806575330613,881.3111009706316
2023,1.07,1548284.0,1886964.0,0.5493,74.0,0.2253,State,NY,36,0.0,0.05925781980260771,1.1126152638807143,0.06593115481667419,0.06292123347790606,1.7617945373813695,933.6662158797781
2023,1.0,1178457.0,1478422.0,0.5565,73.0,0.1335,State,PA,42,0.0,0.04642805292957942,1.0398273494212282,0.04827715921655305,0.046073186722744096,1.2900492282368348,872.5852484857738
2023,1.04,773389.0,1296892.0,0.6264,72.0,0.1927,State,MI,26,-0.952380952380949,0.040727323064692025,1.0814204433980774,0.044043359767035994,0.042032670757227886,1.1769147812023808,907.4886584252049
2023,0.99,973013.0,1331208.0,0.5777,73.0,0.1252,State,OH,39,0.0,0.041804975497036406,1.029429075927016,0.04303525729506573,0.041070590672556695,1.1499765388315875,863.8593960009161
2023,1.0,895592.0,1142479.0,0.5606,73.0,0.1257,State,NC,37,0.0,0.03587816975324567,1.0398273494212282,0.03730710215660232,0.03560394007517066,0.9969103221047786,872.5852484857741
2023,0.99,738152.0,998928.0,0.5751,73.0,0.1183,State,GA,13,-1.0000000000000009,0.03137012440077252,1.029429075927016,0.032293318173602786,0.03081904781172868,0.862933338728403,863.859396000916
2023,1.03,1182730.0,938425.0,0.4424,74.0,0.152,State,IL,17,0.0,0.029470100939001563,1.0710221699038651,0.031563131454975385,0.03012219593444894,0.8434214861645704,898.7628059403472
2023,0.97,613832.0,738932.0,0.5462,73.0,0.1053,State,TN,47,0.0,0.023205264807585373,1.0086325289385913,0.02340558492756453,0.022337061712466685,0.6254377279490672,846.4076910312006
2023,1.05,860756.0,657084.0,0.4329,74.0,0.124,State,NJ,34,0.0,0.020634927463998618,1.0918187168922897,0.02252960002690844,0.021501067703100986,0.6020298956868276,916.2145109100627
2023,0.96,506138.0,707932.0,0.5831,72.0,0.1699,State,WI,55,-1.0309278350515427,0.02223174734043664,0.998234255444379,0.022192491753608323,0.021179349261635342,0.5930217793257896,837.6818385463429
2023,1.01,551213.0,666663.0,0.5474,73.0,0.1271,State,MO,29,-0.9803921568627416,0.020935744361347576,1.0502256229154405,0.02198725516309468,0.020983482232370867,0.5875375025063843,881.3111009706317
2023,1.02,395499.0,648440.0,0.6211,72.0,0.1796,State,MN,27,0.990099009900991,0.020363473109610435,1.0606238964096528,0.021597986193948208,0.020611984360667055,0.5771355620986776,890.0369534554893
2023,0.92,630108.0,717858.0,0.5325,74.0,0.0837,State,AZ,04,0.0,0.022543461352659812,0.95664116146753,0.021566003051906858,0.020581461328675024,0.5762809172029006,802.778428606912
2023,0.99,29138.0,655436.0,0.9574,75.0,,State,PR,72,-3.8834951456310662,0.02058317401929342,1.029429075927016,0.02118891781032619,0.020221590967044876,0.5662045470772565,863.8593960009163
2023,1.02,390938.0,630613.0,0.6173,72.0,0.1384,State,AL,01,0.0,0.01980363775842139,1.0606238964096528,0.02100421144242222,0.020045316904622378,0.5612688733294265,890.0369534554894
2023,0.99,627304.0,632822.0,0.5022,73.0,0.1574,State,IN,18,-1.0000000000000009,0.019873008728903054,1.029429075927016,0.020457853011684193,0.019523901096288994,0.5466692306960919,863.8593960009164
2023,0.92,684237.0,669236.0,0.4945,73.0,0.1366,State,WA,53,0.0,0.02101654631112092,0.95664116146753,0.02010529327310685,0.01918743658739912,0.5372482244471753,802.778428606912
2023,0.95,895581.0,585157.0,0.3952,74.0,0.0872,State,VA,51,0.0,0.01837614711368872,0.9878359819501668,0.01815261932851142,0.01732390706913502,0.4850693979357806,828.9559860614853
2023,1.05,360989.0,486004.0,0.5738,72.0,0.199,State,LA,22,0.0,0.015262367196908133,1.0918187168922897,0.016663738169667208,0.015902997041440502,0.44528391716033405,916.2145109100626
2023,1.0,400268.0,496257.0,0.5535,72.0,0.1627,State,KY,21,0.0,0.01558435024822026,1.0398273494212282,0.016205033611058933,0.01546523348777874,0.4330265376578047,872.5852484857738
2023,1.02,796538.0,465635.0,0.3689,73.0,0.2322,State,MA,25,0.990099009900991,0.014622703413412892,1.0606238964096528,0.015509188670376711,0.014801155600794529,0.4144323568222468,890.0369534554893
2023,0.92,607120.0,514988.0,0.4589,73.0,0.0669,State,SC,45,0.0,0.016172574624902934,0.95664116146753,0.015471350573087446,0.014765044906836298,0.41342125739141633,802.7784286069118
2023,0.89,411522.0,508022.0,0.5525,73.0,0.1309,State,CO,08,0.0,0.015953815828897835,0.9254463409848931,0.01476440048360037,0.01409036884873405,0.39453032776455343,776.6008711523388
2023,0.9,366060.0,495334.0,0.575,72.0,0.1997,State,OR,41,0.0,0.015555364550730639,0.9358446144791054,0.014557404141060456,0.013892822404503824,0.3889990273261071,785.3267236371964
2023,1.07,263913.0,390698.0,0.5968,74.0,0.2486,State,CT,09,0.0,0.012269397657421778,1.1126152638807143,0.013651119112269749,0.013027911543278484,0.3647815232117976,933.6662158797782
2023,1.03,423710.0,295984.0,0.4113,73.0,0.1335,State,OK,40,0.0,0.009295019161179037,1.0710221699038651,0.009955171591303977,0.009500693226908847,0.2660194103534477,898.7628059403472
2023,1.0,337278.0,281931.0,0.4553,73.0,0.1564,State,AR,05,1.0101010101010166,0.008853701710668033,1.0398273494212282,0.009206321182370135,0.008786029703244382,0.2460088316908427,872.5852484857738
2023,0.95,240510.0,285400.0,0.5427,73.0,0.153,State,NV,32,0.0,0.008962641455620902,0.9878359819501668,0.008853619723180547,0.008449429943640995,0.23658403842194786,828.9559860614852
2023,1.02,342866.0,239051.0,0.4108,72.0,0.1778,State,MS,28,-0.9708737864077666,0.007507107227076498,1.0606238964096528,0.00796221731794694,0.0075987222771602934,0.2127642237604882,890.0369534554894
2023,0.99,727278.0,236391.0,0.2453,73.0,0.1696,State,MD,24,0.0,0.0074235731476372845,1.029429075927016,0.007642042045448859,0.007293163802859021,0.20420858648005258,863.8593960009163
2023,0.99,192124.0,226608.0,0.5412,72.0,0.1999,State,WV,54,-1.0000000000000009,0.007116349877278702,1.029429075927016,0.007325777478140347,0.006991337500320557,0.1957574500089756,863.8593960009161
2023,0.99,186458.0,222808.0,0.5444,73.0,0.0876,State,UT,49,0.0,0.006997015478079825,1.029429075927016,0.007202931177846743,0.006874099439434719,0.19247478430417214,863.8593960009161
2023,0.91,398632.0,232294.0,0.3682,74.0,0.1068,State,IA,19,-1.0869565217391353,0.0072949118230273375,0.9462428879733177,0.006902758430932088,0.006587630325632018,0.1844536491176965,794.0525761220543
2023,0.88,194627.0,218147.0,0.5285,73.0,0.1822,State,NM,35,0.0,0.006850642416325624,0.9150480674906808,0.00626866710412845,0.005982486846330535,0.16750963169725497,767.8750186674808
2023,0.93,139975.0,202928.0,0.5918,72.0,0.2657,State,ME,23,0.0,0.0063727081475341224,0.9670394349617423,0.006162660086167489,0.005881319312621095,0.16467694075339068,811.5042810917698
2023,0.94,355931.0,179856.0,0.3357,73.0,0.0995,State,KS,20,-1.0526315789473717,0.005648159921661363,0.9774377084559545,0.005520724490821446,0.0052686896751627825,0.14752331090455792,820.2301335766275
2023,0.87,179889.0,176605.0,0.4954,73.0,0.1263,State,ID,16,0.0,0.005546066202767798,0.9046497939964685,0.005017247647824664,0.004788197803345792,0.13406953849368217,759.1491661826232
2023,0.93,102164.0,158911.0,0.6087,75.0,0.0947,State,HI,15,1.0869565217391353,0.004990407555550713,0.9670394349617423,0.00482592090274857,0.00460560560044908,0.12895695681257424,811.5042810917698
2023,0.98,75869.0,134195.0,0.6388,74.0,0.1167,State,RI,44,1.0309278350515427,0.004214231500129808,1.0190308024328036,0.004294431707214876,0.004098380209719195,0.11475464587213745,855.1335435160582
2023,0.92,228281.0,118340.0,0.3414,74.0,0.0977,State,NE,31,-1.0752688172043001,0.0037163244213671257,0.95664116146753,0.0035551889108467933,0.0033928856871907843,0.09500079924134196,802.778428606912
2023,0.87,191867.0,108438.0,0.3611,73.0,0.123,State,NH,33,0.0,0.003405364100086263,0.9046497939964685,0.0030806619316260074,0.0029400220458039752,0.0823206172825113,759.1491661826233
2023,0.98,150520.0,69888.0,0.3171,73.0,0.1204,State,DE,10,-1.0101010101010055,0.002194748024002921,1.0190308024328036,0.0022365158400375067,0.0021344133246160818,0.05976357308925029,855.1335435160584
2023,0.83,168821.0,70065.0,0.2933,73.0,0.1299,State,MT,30,0.0,0.002200306494702448,0.8630567000196193,0.0018989892623496305,0.0018122956753992595,0.05074427891117927,724.2457562431923
2023,0.87,114994.0,63698.0,0.3565,72.0,0.1215,State,SD,46,-1.1363636363636354,0.0020003585684658033,0.9046497939964685,0.0018096239668816596,0.0017270101281250262,0.048356283587500735,759.1491661826233
