YEAR,ma_total_count,ma_avg_age_wt,ma_dual_pct_wt,n_states,geo_lvl
2016,36367170,72.46296296296296,0.17323076923076924,54,National-MA
2017,39148085,72.64814814814815,0.17610576923076923,54,National-MA
2018,42121852,72.64814814814815,0.1827826923076923,54,National-MA
2019,45279043,72.55555555555556,0.19319807692307694,54,National-MA
2020,49857057,72.48148148148148,0.20632499999999998,54,National-MA
2021,54723449,72.35185185185185,0.21698653846153848,54,National-MA
2022,59354311,72.31481481481481,0.23178846153846153,54,National-MA
