year,total_admin_billions,cost_contain_billions,claims_adj_billions,sales_benefits_billions,broker_fees_billions,other_ga_billions,total_premium_billions,cost_contain_pct,claims_adj_pct,sales_benefits_pct,broker_fees_pct,other_ga_pct,admin_to_premium_pct
2024,183.62979089783835,20.594953557561478,24.410761489685836,11.685205325720977,31.059275303227878,95.87959522164218,1586.3457963152327,11.21547514532617,13.293464731584137,6.3634583847138355,16.91407214012871,52.213529598247156,11.575647083024016
2023,179.58582956857123,20.614552614090798,23.87696984959692,10.877137255506407,28.28285358073323,95.93431626864385,1524.936817383137,11.478941664614773,13.295575662599804,6.056790383538136,15.74893389343617,53.419758395811115,11.776607890991112
2022,174.3430430654372,18.334967587044666,22.164880488088983,9.95763537531724,26.20387060615773,97.6816890088286,1424.8003030716777,10.516604083916842,12.713372497329708,5.711518624565811,15.030063801468968,56.028440992718686,12.236314288365678
2021,153.74149421103635,16.210939831962644,20.775566064991512,9.723703469492426,24.47863086126879,82.55265398332098,1296.65897125769,10.54428403675482,13.51331088045334,6.324709877051793,15.921941559685706,53.69575364605434,11.856740871650723
2020,155.7149934242625,15.750549553294608,20.916516722871027,9.388000000655492,23.409358920340928,86.25056822710044,1234.8118717483121,10.114985851349918,13.432564368340364,6.0289634249136554,15.033464925602619,55.390021429793435,12.610422444658957
2019,150.83479209428143,15.785495579160893,20.20223468727981,8.532516887171537,22.297282335180036,84.01726260548914,1168.7032394108332,10.465420716258848,13.39361721972747,5.656862563803029,14.782585652548121,55.70151384766251,12.906167024087337
