year,total_premium_billions,total_claims_billions,pharma_rebates_billions,admin_cost_contain_billions,admin_claims_adj_billions,admin_sales_billions,admin_broker_billions,admin_other_billions,total_admin_billions,computed_mlr_percent,admin_ratio_percent,claims_to_premium_percent
2024,1586.3457963152327,1409.8300904765754,76.91657589780465,20.594953557561478,24.410761489685836,11.685205325720977,31.059275303227878,95.87959522164218,183.62979089783835,88.87281031357298,11.575647083024016,88.87281031357298
2023,1524.936817383137,1312.7224814889137,66.55793752996661,20.614552614090798,23.87696984959692,10.877137255506407,28.28285358073323,95.93431626864385,179.58582956857123,86.0837292748697,11.776607890991112,86.0837292748697
2022,1424.8003030716777,1237.7367602862078,53.38197641017902,18.334967587044666,22.164880488088983,9.95763537531724,26.20387060615773,97.6816890088286,174.3430430654372,86.87089395038826,12.236314288365678,86.87089395038826
2021,1296.65897125769,1136.041224092067,42.654552125773066,16.210939831962644,20.775566064991512,9.723703469492426,24.47863086126879,82.55265398332098,153.74149421103635,87.61295369669698,11.856740871650723,87.61295369669698
2020,1234.8118717483121,1023.927191600752,35.541329433087995,15.750549553294608,20.916516722871027,9.388000000655492,23.409358920340928,86.25056822710044,155.7149934242625,82.92171585223113,12.610422444658957,82.92171585223113
2019,1168.7032394108332,992.933134723214,30.087337880579028,15.785495579160893,20.20223468727981,8.532516887171537,22.297282335180036,84.01726260548914,150.83479209428143,84.96024493127712,12.906167024087337,84.96024493127712
