ein,filer_name,filer_state,ccn,rpt_rec_num,hcris_name,hcris_state,jaccard,hospital_facilities_cnt,match_type,match_scope,allocation_share,total_costs
382113393,TRINITY HEALTH - MICHIGAN,MI,670319,784585,TRINITY REGIONAL HOSPITAL SACHSE,TX,1.0,5,system_keyword,multi_state,0.0285,44221449.0
382113393,TRINITY HEALTH - MICHIGAN,MI,230002,822697,TRINITY HEALTH LIVONIA,MI,1.0,5,system_keyword,multi_state,0.2291,355160897.0
112241326,LONG ISLAND JEWISH MEDICAL CENTER,NY,330195,826213,LONG ISLAND JEWISH MEDICAL CENTER,NY,1.0,5,system_keyword,same_state,0.4497,2855633170.0
112241326,LONG ISLAND JEWISH MEDICAL CENTER,NY,330160,826507,STATEN ISLAND UNIVERSITY HOSPITAL,NY,1.0,5,system_keyword,same_state,0.2115,1343355151.0
112241326,LONG ISLAND JEWISH MEDICAL CENTER,NY,330106,827266,NORTH SHORE UNIVERSITY HOSPITAL,NY,1.0,5,system_keyword,same_state,0.3388,2151328093.0
630312913,BAPTIST HEALTH SYSTEM INC,AL,440048,821843,BAPTIST MEM HOSPITAL MEMPHIS,TN,1.0,5,system_keyword,multi_state,0.1966,838138524.0
630312913,BAPTIST HEALTH SYSTEM INC,AL,440130,821850,BAPTIST MEM HOSPITAL UNION CITY,TN,1.0,5,system_keyword,multi_state,0.0108,46162942.0
630312913,BAPTIST HEALTH SYSTEM INC,AL,440131,823361,BAPTIST MEM HOSPITAL TIPTON COUNTY,TN,1.0,5,system_keyword,multi_state,0.038,162066621.0
630312913,BAPTIST HEALTH SYSTEM INC,AL,100008,821236,BAPTIST HOSPITAL,FL,1.0,5,system_keyword,multi_state,0.3396,1447660291.0
630312913,BAPTIST HEALTH SYSTEM INC,AL,100088,821260,BAPTIST MEDICAL CENTER,FL,1.0,5,system_keyword,multi_state,0.4149,1768680629.0
610445850,St Elizabeth Medical Center Inc,KY,180035,821416,ST ELIZABETH HEALTHCARE,KY,1.0,5,multi_facility_jaccard,same_state,1.0,899515249.0
610703799,Norton Hospitals Inc,KY,180088,820470,NORTON HOSPITALS  INC,KY,1.0,5,system_keyword,same_state,1.0,2424896401.0
720400933,WILLIS-KNIGHTON MEDICAL CENTER,LA,190111,823090,WILLIS-KNIGHTON HEALTH SYSTEMS,LA,1.0,4,multi_facility_jaccard,same_state,1.0,927710209.0
580566121,JOHN D ARCHBOLD MEMORIAL,GA,110038,820336,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GA,1.0,4,multi_facility_jaccard,same_state,1.0,290994958.0
581588823,MOSES H CONE MEMORIAL HOSPITAL,NC,340091,815995,THE MOSES H. CONE MEMORIAL HOSPITAL,NC,1.0,4,multi_facility_jaccard,same_state,1.0,1518024307.0
953782169,Sharp Memorial Hospital,CA,050100,823245,SHARP MEMORIAL HOSPITAL,CA,1.0,4,multi_facility_jaccard,same_state,1.0,1217776597.0
741282696,ST JOSEPH REGIONAL HEALTH CENTER,TX,450011,816292,ST. JOSEPH REGIONAL HEALTH CENTER,TX,1.0,4,multi_facility_jaccard,same_state,1.0,433478371.0
310833936,CHILDREN'S HOSPITAL MEDICAL CENTER,OH,363303,818565,CHILDRENS HOSPITAL MEDICAL CENTER,OH,1.0,4,multi_facility_jaccard,same_state,1.0,955827026.0
454364243,Ascension Texas,MO,140258,823267,ALEXIAN BROTHERS MEDICAL CENTER,IL,1.0,4,system_keyword,multi_state,0.2733,494798991.0
454364243,Ascension Texas,MO,140162,824056,ST. JOSEPH MEDICAL CENTER,IL,1.0,4,system_keyword,multi_state,0.097,175640733.0
454364243,Ascension Texas,MO,140067,824496,SAINT FRANCIS MEDICAL CENTER,IL,1.0,4,system_keyword,multi_state,0.5805,1050869069.0
454364243,Ascension Texas,MO,144031,824502,ALEXIAN BROTHERS BEHAVIORAL HEALTH,IL,1.0,4,system_keyword,multi_state,0.0492,89068431.0
161533232,KALEIDA HEALTH,NY,330005,826492,KALEIDA HEALTH,NY,1.0,4,multi_facility_jaccard,same_state,1.0,1489071557.0
910433740,SWEDISH HEALTH SERVICES,WA,500027,825929,SWEDISH MEDICAL CENTER,WA,1.0,4,multi_facility_jaccard,same_state,1.0,1376297064.0
550526150,CHARLESTON AREA MEDICAL CENTER INC,WV,510022,826749,CHARLESTON AREA MEDICAL CENTER  INC.,WV,1.0,4,multi_facility_jaccard,same_state,1.0,1404772582.0
344428256,THE TOLEDO HOSPITAL,OH,360068,822301,THE TOLEDO HOSPITAL,OH,1.0,4,multi_facility_jaccard,same_state,1.0,1203480473.0
560928089,FORSYTH MEMORIAL HOSPITAL INC,NC,340014,821780,FORSYTH MEMORIAL HOSPITAL  INC,NC,1.0,4,multi_facility_jaccard,same_state,1.0,1231829219.0
381357020,HENRY FORD HEALTH SYSTEM,MI,230053,824578,HENRY FORD HOSPITAL,MI,1.0,4,multi_facility_jaccard,same_state,1.0,2245826582.0
930602940,St Charles Health System Inc,OR,380047,826545,ST CHARLES MEDICAL CENTER,OR,1.0,4,multi_facility_jaccard,same_state,1.0,799639837.0
510216589,PROVIDENCE HEALTH SYSTEM - SO,WA,271343,775894,PROVIDENCE ST JOSEPH MEDICAL CTR,MT,1.0,4,system_keyword,multi_state,0.0617,47911117.0
510216589,PROVIDENCE HEALTH SYSTEM - SO,WA,010090,822999,PROVIDENCE HOSPITAL,AL,1.0,4,system_keyword,multi_state,0.0831,64569860.0
510216589,PROVIDENCE HEALTH SYSTEM - SO,WA,020001,822034,PROVIDENCE ALASKA MEDICAL CENTER,AK,1.0,4,system_keyword,multi_state,0.8213,638073647.0
510216589,PROVIDENCE HEALTH SYSTEM - SO,WA,281345,820505,PROVIDENCE MEDICAL CENTER,NE,1.0,4,system_keyword,multi_state,0.0339,26360180.0
840166760,Children's Hospital Colorado,CO,063303,815379,CHCO - COLORADO SPRINGS,CO,1.0,4,system_keyword,same_state,0.1281,252883411.0
840166760,Children's Hospital Colorado,CO,063301,821402,CHILDRENS HOSPITAL COLORADO,CO,1.0,4,system_keyword,same_state,0.7242,1429460622.0
840166760,Children's Hospital Colorado,CO,060001,823257,NORTH COLORADO MEDICAL CENTER,CO,1.0,4,system_keyword,same_state,0.1477,291577506.0
391139101,ROGERS MEMORIAL HOSPITAL INC,WI,524018,782686,ROGERS MEMORIAL HOSPITAL  INC.,WI,1.0,3,multi_facility_jaccard,same_state,1.0,91471351.0
620123940,BAPTIST MEMORIAL HOSPITAL,TN,100140,826600,BAPTIST MEDICAL CTR-NASSAU,FL,1.0,3,system_keyword,multi_state,0.1285,76413489.0
620123940,BAPTIST MEMORIAL HOSPITAL,TN,100093,827528,BAPTIST HOSPITAL,FL,1.0,3,system_keyword,multi_state,0.8037,478024961.0
620123940,BAPTIST MEMORIAL HOSPITAL,TN,043026,774227,BAPTIST HEALTH REHABILITATION INSTIT,AR,1.0,3,system_keyword,multi_state,0.0679,40378480.0
350593390,DEACONESS HOSPITAL INC,IN,150082,823277,DEACONESS HOSPITAL,IN,1.0,3,multi_facility_jaccard,same_state,1.0,859489835.0
710290019,ST BERNARDS HOSPITAL INC,AR,040020,823403,ST BERNARDS MEDICAL CENTER,AR,1.0,3,multi_facility_jaccard,same_state,1.0,474594276.0
590747311,Southern Baptist Hospital of Florida Inc,FL,040114,820318,BAPTIST HEALTH MEDICAL CENTER - LR,AR,1.0,3,system_keyword,multi_state,0.703,585808009.0
590747311,Southern Baptist Hospital of Florida Inc,FL,040018,824000,BAPTIST HEALTH MEDICAL CENTER - VB,AR,1.0,3,system_keyword,multi_state,0.0132,10976686.0
590747311,Southern Baptist Hospital of Florida Inc,FL,040036,824001,BAPTIST HEALTH MEDICAL CENTER- NLR,AR,1.0,3,system_keyword,multi_state,0.2838,236490492.0
390816857,ASCENSION SE WISCONSIN HOSPITAL INC,MO,140052,825138,OSF SAINT ANTHONYS HEALTH CENTER,IL,1.0,3,system_keyword,multi_state,0.2445,90747956.0
390816857,ASCENSION SE WISCONSIN HOSPITAL INC,MO,140095,825143,SAINT ANTHONY HOSPITAL,IL,1.0,3,system_keyword,multi_state,0.3543,131490347.0
390816857,ASCENSION SE WISCONSIN HOSPITAL INC,MO,140217,825162,PRESENCE SAINT JOSEPH HOSPITAL ELGIN,IL,1.0,3,system_keyword,multi_state,0.4012,148902219.0
460224604,Avera Queen of Peace,SD,431340,792460,AVERA QUEEN OF PEACE,SD,1.0,3,multi_facility_jaccard,same_state,1.0,103545604.0
562070036,DUKE UNIVERSITY HEALTH SYSTEM INC,NC,340030,821784,DUKE UNIVERSITY HOSPITAL,NC,1.0,3,system_keyword,same_state,0.8486,2889849224.0
562070036,DUKE UNIVERSITY HEALTH SYSTEM INC,NC,340073,821788,DUKE RALEIGH HOSPITAL,NC,1.0,3,system_keyword,same_state,0.1514,515616414.0
731034824,INTEGRIS BAPTIST MEDICAL CENTER INC,OK,040118,824695,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.0,3,system_keyword,multi_state,0.4296,222942707.0
731034824,INTEGRIS BAPTIST MEDICAL CENTER INC,OK,041321,824697,BAPTIST HEALTH MED CTR ARKADELPHIA,AR,1.0,3,system_keyword,multi_state,0.0549,28507432.0
731034824,INTEGRIS BAPTIST MEDICAL CENTER INC,OK,040055,824896,BAPTIST HEALTH MEDICAL CENTER - FS,AR,1.0,3,system_keyword,multi_state,0.5154,267481503.0
331007002,TRINITY HEALTH & AFFILIATES,ND,230029,822703,TRINITY HEALTH OAKLAND,MI,1.0,3,system_keyword,multi_state,0.3656,468387675.0
331007002,TRINITY HEALTH & AFFILIATES,ND,230069,822713,TRINITY HEALTH LIVINGSTON,MI,1.0,3,system_keyword,multi_state,0.128,163950943.0
331007002,TRINITY HEALTH & AFFILIATES,ND,230066,823304,TRINITY HEALTH MUSKEGON,MI,1.0,3,system_keyword,multi_state,0.5064,648831393.0
231352220,GETTYSBURG HOSPITAL,PA,390065,818934,THE GETTYSBURG HOSPITAL,PA,1.0,3,multi_facility_jaccard,same_state,1.0,182796270.0
420680448,CATHOLIC HEALTH INITIATIVES - IOWA CORP,IA,140224,825163,PRESENCE SAINT JOSEPH HOSP-CHICAGO,IL,1.0,3,system_keyword,multi_state,0.2614,227900587.0
420680448,CATHOLIC HEALTH INITIATIVES - IOWA CORP,IA,140032,825515,ST. ANTHONYS MEMORIAL HOSPITAL,IL,1.0,3,system_keyword,multi_state,0.1383,120566853.0
420680448,CATHOLIC HEALTH INITIATIVES - IOWA CORP,IA,140053,825518,ST. JOHNS HOSPITAL,IL,1.0,3,system_keyword,multi_state,0.6004,523493802.0
383369438,COVENANT MEDICAL CENTER INC,MI,230070,824579,COVENANT MEDICAL CENTER,MI,1.0,3,multi_facility_jaccard,same_state,1.0,715722466.0
720423651,OUR LADY OF THE LAKE HOSPITAL INC,LA,190064,825787,OUR LADY OF THE LAKE  RMC,LA,0.75,3,multi_facility_jaccard,same_state,1.0,1284495660.0
