provider_number,hospital_name,state,ownership,beds,discharges,cmi,teaching,ag_cost_total,med_records_cost,nursing_admin_cost,full_overhead,total_hospital_costs,admin_per_discharge,admin_pct_of_total,overhead_per_discharge,overhead_pct_of_total,commercial_payer_pct,medicare_pct,ag_purchased_services,ag_it,ag_insurance,ag_other
224001,60 HODGES AVENUE,MA,Government,49,18347,1.0,No,4940485,174345,0,25078725,42137925,269.28,11.72,1366.91,59.52,0.945,0.0,0,0,0,0
234045,18001 ROTUNDA DRIVE,MI,For-Profit,114,32802,1.0,No,6569128,127396,0,12708993,24961730,200.27,26.32,387.45,50.91,0.911,0.089,0,0,0,0
444029,1001 N JAMES M CAMPBELL BLVD,TN,For-Profit,60,15255,1.0,No,4634082,102286,0,7943068,16649123,303.77,27.83,520.69,47.71,0.917,0.082,0,0,0,0
034031,2545 WEST QUAIL AVENUE,AZ,For-Profit,116,29513,1.0,No,8098699,302118,0,13858739,26340721,274.41,30.75,469.58,52.61,0.933,0.067,0,0,0,0
231320,72 SOUTH STATE STREET,MI,Nonprofit,24,1276,2.0,No,6443652,37035,0,12201623,36965929,5049.88,17.43,9562.4,33.01,0.635,0.327,0,0,0,0
454152,1201 CANYON CREEK DRIVE,TX,For-Profit,70,18570,1.0,No,4309927,284225,0,8532630,16508532,232.09,26.11,459.48,51.69,0.949,0.047,0,0,0,0
064023,515 28 3/4 ROAD,CO,Nonprofit,48,14544,1.0,No,957061,0,0,4458028,23627812,65.8,4.05,306.52,18.87,0.839,0.058,0,0,0,0
181321,166 HOSPITAL STREET,KY,Nonprofit,25,705,2.0,No,4351479,336989,0,8079298,18951418,6172.31,22.96,11460.0,42.63,0.742,0.243,0,0,0,0
182010,260 HOSPITAL DRIVE,KY,Nonprofit,25,577,2.0,No,1163011,38708,0,1139379,3945900,2015.62,29.47,1974.66,28.88,0.782,0.218,0,0,0,0
281335,211 EAST KIMBALL,NE,Government,12,474,2.0,No,2116040,210976,0,3388023,11861677,4464.22,17.84,7147.73,28.56,0.245,0.736,0,0,0,0
370178,100 HIGHWAY WEST,OK,Nonprofit,30,1152,2.0,No,2798934,247007,0,5381003,10864467,2429.63,25.76,4671.01,49.53,0.409,0.363,0,0,0,0
440010,HIGHWAY 64 EAST,TN,Government,25,1044,2.0,No,1492495,182652,0,5216564,15562877,1429.59,9.59,4996.71,33.52,0.456,0.544,0,0,0,0
052046,16453 SOUTH COLORADO AVE.,CA,For-Profit,153,24805,1.0,No,8255450,992639,0,22616509,68738184,332.81,12.01,911.77,32.9,0.549,0.446,0,0,0,0
054152,2250 SOQUEL AVE SUITE 150,CA,For-Profit,16,5009,1.0,No,1507828,52753,0,3484531,7633665,301.02,19.75,695.65,45.65,0.534,0.223,0,0,0,0
244013,444 LAFAYETTE ROAD,MN,Government,16,5758,2.0,No,2304432,0,0,3646220,9275934,400.21,24.84,633.24,39.31,0.479,0.049,0,0,0,0
254009,1937 BRIAR RIDGE ROAD,MS,Government,50,16296,2.0,No,1298857,37754,0,4106500,9832081,79.7,13.21,251.99,41.77,0.948,0.052,0,0,0,0
272001,3528 GABEL ROAD,MT,For-Profit,40,11428,1.0,No,5457457,132141,0,9671872,21529905,477.55,25.35,846.33,44.92,0.311,0.366,0,0,0,0
281363,1301 EAST H STREET,NE,Nonprofit,25,1397,2.0,No,8539408,478159,0,22561355,56990535,6112.68,14.98,16149.86,39.59,0.291,0.603,0,0,0,0
304000,36 CLINTON ST,NH,Government,158,56445,2.0,No,11155385,527678,0,23982313,86411710,197.63,12.91,424.88,27.75,0.667,0.027,0,0,0,0
511317,430 MAIN STREET,WV,For-Profit,22,514,2.0,No,2001623,46708,0,3530359,9316718,3894.21,21.48,6868.4,37.89,0.599,0.35,0,0,0,0
281352,3307 BARADA STREET,NE,Nonprofit,24,1909,2.0,No,5193227,372346,0,9848289,33113447,2720.39,15.68,5158.87,29.74,0.14,0.799,0,0,0,0
144028,1200 S FIRST AVE,IL,Government,28,8581,1.0,No,9202942,789957,544154,22418557,43898720,1072.48,20.96,2612.58,51.07,1.0,0.0,0,0,0,0
102018,6150 EDGELAKE DRIVE,FL,For-Profit,40,12414,1.0,No,3549189,268713,0,6987587,22197730,285.9,15.99,562.88,31.48,0.441,0.559,0,0,0,0
111326,116 W. THIGPEN AVENUE,GA,Government,25,236,1.0,No,3025763,118865,0,8663537,18538582,12821.03,16.32,36709.9,46.73,0.496,0.449,0,0,0,0
111332,903 N COURT ST,GA,Nonprofit,25,116,1.0,No,1842702,43931,1717,5032011,11341033,15885.36,16.25,43379.41,44.37,0.862,0.103,0,0,0,0
114016,2927 DEMERE ROAD,GA,For-Profit,101,18492,1.0,No,6357955,252298,0,10623948,16819159,343.82,37.8,574.52,63.17,0.945,0.055,0,0,0,0
214004,6655 SYKESVILLE RD,MD,Government,522,78583,1.0,No,8577147,786403,0,78529758,99579983,109.15,8.61,999.32,78.86,0.925,0.023,0,0,0,0
222027,150 YORK STREET,MA,For-Profit,182,25020,1.0,No,10255162,107302,0,20947758,41663608,409.88,24.61,837.24,50.28,0.27,0.195,0,0,0,0
444025,9485 CRESTWYN HILLS COVE,TN,For-Profit,80,24751,1.0,No,4846088,415323,0,9786987,16569095,195.79,29.25,395.42,59.07,0.924,0.076,0,0,0,0
444030,4220 HARDING ROAD,TN,For-Profit,90,17502,1.0,No,3613284,324441,0,8902380,16694715,206.45,21.64,508.65,53.32,0.907,0.093,0,0,0,0
034040,9160 EAST HORSESHOE ROAD,AZ,For-Profit,120,24195,1.0,No,5239002,283053,0,10763901,21713716,216.53,24.13,444.88,49.57,0.971,0.029,0,0,0,0
074003,EASTERN DRIVE,CT,Government,386,108152,1.0,No,23963494,1282485,0,153932499,235054797,221.57,10.19,1423.3,65.49,0.759,0.01,0,0,0,0
154021,505 WABASH AVENUE,IN,Nonprofit,16,1877,2.0,No,1493315,-3711,0,1627465,16319359,795.59,9.15,867.06,9.97,0.863,0.056,0,0,0,0
304001,218 EAST ROAD,NH,Government,72,11317,1.0,No,3584536,3050,0,3912640,21648847,316.74,16.56,345.73,18.07,0.311,0.004,0,0,0,0
394040,1 EARLYSTOWN RD,PA,For-Profit,119,29040,1.0,No,4225229,325243,0,9626684,20315198,145.5,20.8,331.5,47.39,0.89,0.04,0,0,0,0
013025,ENCOMPASS HEALTH LAKESHORE REHABILIT,AL,For-Profit,100,32782,1.0,No,9284420,168938,0,19984999,44010290,283.22,21.1,609.63,45.41,0.481,0.384,0,0,0,0
013028,4465 NARROW LANE ROAD,AL,For-Profit,75,24168,1.0,No,6332612,64443,0,13316556,27985100,262.02,22.63,551.0,47.58,0.535,0.465,0,0,0,0
013032,801 GOODYEAR AVENUE,AL,For-Profit,49,16821,1.0,No,5016680,100875,0,9989653,19718582,298.24,25.44,593.88,50.66,0.46,0.54,0,0,0,0
053031,5001 COMMERCE DRIVE,CA,For-Profit,86,22865,1.0,No,9194049,106715,0,18899104,45937778,402.1,20.01,826.55,41.14,0.425,0.522,0,0,0,0
103028,4399 KNOB HILL ROAD,FL,For-Profit,126,31259,1.0,No,9509454,301542,0,19995004,40027564,304.21,23.76,639.66,49.95,0.397,0.603,0,0,0,0
103033,1675 RIGGINS ROAD,FL,For-Profit,58,12517,1.0,No,4532833,136081,0,10061846,18503921,362.13,24.5,803.85,54.38,0.377,0.623,0,0,0,0
103034,101 EAST FLORIDA AVENUE,FL,For-Profit,90,25742,1.0,No,7051264,196995,0,14901531,30042809,273.92,23.47,578.88,49.6,0.355,0.644,0,0,0,0
103037,901 NORTH CLEARWATER - LARGO ROAD,FL,For-Profit,70,22607,1.0,No,7472289,115406,0,14734271,28944112,330.53,25.82,651.76,50.91,0.348,0.65,0,0,0,0
103038,20601 OLD CUTLER ROAD,FL,For-Profit,60,16546,1.0,No,5156132,161235,0,13071482,23781625,311.62,21.68,790.01,54.96,0.391,0.596,0,0,0,0
103040,1847 FLORIDA AVE,FL,For-Profit,75,14830,1.0,No,6173983,75110,0,13666930,24734560,416.32,24.96,921.57,55.25,0.361,0.637,0,0,0,0
103042,12440 CORTEZ BLVD,FL,For-Profit,80,21886,1.0,No,6547375,135523,0,14546202,28372099,299.16,23.08,664.64,51.27,0.33,0.67,0,0,0,0
113032,2101 E. NEWAN CROSSING BLVD,GA,For-Profit,60,18905,1.0,No,5607228,146853,0,12446902,25330454,296.6,22.14,658.39,49.14,0.333,0.576,0,0,0,0
113034,1165 SANDERS ROAD,GA,For-Profit,50,15561,1.0,No,5189235,97262,0,10355954,21432102,333.48,24.21,665.51,48.32,0.277,0.712,0,0,0,0
181304,MAIN STREET  HWY 68,KY,Nonprofit,25,260,2.0,No,3841362,189334,0,7203636,22624500,14774.47,16.98,27706.29,31.84,0.577,0.423,0,0,0,0
203025,335 BRIGHTON AVENUE UNIT 201,ME,For-Profit,90,22163,1.0,No,6384950,99656,0,15917837,32675518,288.09,19.54,718.22,48.71,0.5,0.45,0,0,0,0
213028,200 TILGHMAN ROAD,MD,For-Profit,74,23135,1.0,No,5987517,81648,0,12654911,27477043,258.81,21.79,547.0,46.06,0.22,0.778,0,0,0,0
223030,222 STATE STREET,MA,For-Profit,53,18027,1.0,No,4723752,60653,0,9991133,22044894,262.04,21.43,554.23,45.32,0.234,0.748,0,0,0,0
313029,14 HOSPITAL DRIVE,NJ,For-Profit,98,27980,1.0,No,7953322,134629,0,20068600,42783984,284.25,18.59,717.25,46.91,0.2,0.787,0,0,0,0
323027,7000 JEFFERSON ST.  NE,NM,For-Profit,87,20969,1.0,No,6839937,88139,0,13698531,27936568,326.19,24.48,653.28,49.03,0.664,0.329,0,0,0,0
392025,575 NORTH RIVER STREET,PA,For-Profit,36,6355,1.0,No,1993785,239493,0,3686770,12123222,313.73,16.45,580.14,30.41,0.552,0.448,0,0,0,0
423025,2935 COLONIAL DRIVE,SC,For-Profit,96,24559,1.0,No,6094267,55755,0,13158602,26830405,248.15,22.71,535.8,49.04,0.368,0.632,0,0,0,0
423026,900 EAST CHEVES ST,SC,For-Profit,55,14702,1.0,No,4638607,46609,0,9635058,18670146,315.51,24.85,655.36,51.61,0.312,0.688,0,0,0,0
423027,9181 MEDCOM STREET,SC,For-Profit,49,14581,1.0,No,4885134,74544,0,10193189,19141278,335.03,25.52,699.07,53.25,0.409,0.591,0,0,0,0
443029,1282 UNION AVE,TN,For-Profit,80,20066,1.0,No,5227162,115423,0,10805402,25026373,260.5,20.89,538.49,43.18,0.561,0.439,0,0,0,0
443031,4100 AUSTIN PEAY HIGHWAY,TN,For-Profit,50,14276,1.0,No,4251581,105182,0,8970693,18808779,297.81,22.6,628.38,47.69,0.394,0.606,0,0,0,0
443033,2511 WESLEY STREET,TN,For-Profit,36,11224,1.0,No,3341390,28350,0,6790970,13231236,297.7,25.25,605.04,51.33,0.512,0.488,0,0,0,0
443036,616 WEST FOREST AVENUE,TN,For-Profit,48,15448,1.0,No,3286621,87972,0,7397004,16496771,212.75,19.92,478.83,44.84,0.375,0.625,0,0,0,0
454093,1950 ASPEN AVENUE,TX,Government,30,7629,1.0,No,1592972,0,0,3105690,7185825,208.8,22.17,407.09,43.22,0.948,0.052,0,0,0,0
463025,8074 SOUTH 1300 EAST,UT,For-Profit,84,13620,1.0,No,4616191,45207,0,9778815,20096925,338.93,22.97,717.97,48.66,0.471,0.521,0,0,0,0
493029,515 RAY C. HUNT DRIVE,VA,For-Profit,50,14921,1.0,No,4618538,92000,0,10472379,21663978,309.53,21.32,701.86,48.34,0.4,0.599,0,0,0,0
134009,8050 NORTHVIEW STREET,ID,For-Profit,16,4742,1.0,No,3143719,76771,187624,8193805,24826761,662.95,12.66,1727.92,33.0,0.561,0.092,0,0,0,0
334043,777 SEAVIEW AVE.,NY,Government,260,82058,1.0,No,19324230,622159,207292,81217474,160486414,235.49,12.04,989.76,50.61,0.807,0.005,0,0,0,0
341316,190 HOSPITAL DRIVE - HIGHWAY 64E,NC,For-Profit,24,1086,2.0,No,5633872,178382,0,13635909,26514825,5187.73,21.25,12556.09,51.43,0.351,0.627,0,0,0,0
343027,2475 HILLCREST CENTER CIRCLE,NC,For-Profit,68,20184,1.0,No,5213489,63294,0,11532651,25257680,258.3,20.64,571.38,45.66,0.553,0.432,0,0,0,0
374006,1101 E MONROE,OK,Government,16,5195,2.0,No,2394317,968,0,7953848,22102532,460.89,10.83,1531.06,35.99,0.34,0.095,0,0,0,0
423032,107 SEAGRASS STATION ROAD,SC,For-Profit,38,12109,1.0,No,4186242,72132,0,8942655,17110665,345.71,24.47,738.51,52.26,0.257,0.743,0,0,0,0
423033,4070 HIGHWAY 17 BYPASS SOUTH  4TH,SC,For-Profit,75,22468,2.0,No,5963411,94615,0,13873450,28957934,265.42,20.59,617.48,47.91,0.193,0.807,0,0,0,0
423035,3372 LAURENS ROAD,SC,For-Profit,40,13426,1.0,No,4336298,58169,0,9176209,18701701,322.98,23.19,683.47,49.07,0.34,0.66,0,0,0,0
513030,1160 VAN VOORHIS ROAD,WV,For-Profit,96,29110,1.0,No,8518048,96223,0,17667025,37487019,292.62,22.72,606.91,47.13,0.368,0.622,0,0,0,0
011305,150 GILBREATH DRIVE,AL,Nonprofit,19,1387,1.0,No,8199924,0,0,12586105,36489505,5911.99,22.47,9074.34,34.49,0.72,0.189,0,0,0,0
043032,153 EAST MONTE PAINTER DRIVE,AR,For-Profit,80,22253,1.0,No,5408705,95590,0,10598104,25162534,243.06,21.5,476.26,42.12,0.389,0.54,0,0,0,0
224039,76 SUMMER STREED,MA,For-Profit,71,24459,1.0,No,5186904,452183,0,11842401,20088035,212.07,25.82,484.17,58.95,0.799,0.188,0,0,0,0
351325,700 FIRST STREET SW,ND,Nonprofit,20,281,2.0,No,1582972,152619,0,4066541,10696464,5633.35,14.8,14471.68,38.02,0.516,0.445,0,0,0,0
372018,3219 SOUTH 79TH EAST AVE,OK,For-Profit,50,6594,1.0,No,2875478,214542,0,6079007,17261381,436.07,16.66,921.9,35.22,0.401,0.447,0,0,0,0
053034,15120 KENSINGTON PARK DRIVE,CA,For-Profit,65,20618,1.0,No,6587418,135420,0,15434026,37334286,319.5,17.64,748.57,41.34,0.536,0.464,0,0,0,0
292004,235 WEST 6TH STREET  2ND FLOOR,NV,For-Profit,21,7656,1.0,No,2389468,349777,0,4435579,13956559,312.1,17.12,579.36,31.78,0.634,0.362,0,0,0,0
292006,2500 NORTH TENAYA WAY,NV,For-Profit,70,18308,1.0,No,5121572,299422,0,10323569,33296386,279.75,15.38,563.88,31.01,0.568,0.402,0,0,0,0
293026,1250 SOUTH VALLEY VIEW BLVD,NV,For-Profit,79,19286,1.0,No,6684295,52758,0,14106379,29742498,346.59,22.47,731.43,47.43,0.404,0.48,0,0,0,0
293033,9175 W OQUENDO RD,NV,For-Profit,50,15105,1.0,No,5263359,95692,0,10272126,22815510,348.45,23.07,680.05,45.02,0.288,0.667,0,0,0,0
452090,7400 BARLITE BOULEVARD  2ND FLOOR,TX,For-Profit,26,8471,1.0,No,2456482,213624,0,5145799,15322714,289.99,16.03,607.46,33.58,0.496,0.504,0,0,0,0
521317,614 MEMORIAL DRIVE,WI,Nonprofit,25,457,2.0,No,6812807,0,0,10633671,24994570,14907.67,27.26,23268.43,42.54,0.79,0.197,0,0,0,0
012011,400 E. 10TH STREET 4TH FLOOR,AL,Nonprofit,38,4975,1.0,No,1685338,136837,0,2535807,7152312,338.76,23.56,509.71,35.45,0.48,0.52,0,0,0,0
054146,2633 EAST 27TH STREET,CA,For-Profit,26,6678,1.0,No,2040598,123222,0,5453734,12477718,305.57,16.35,816.67,43.71,0.984,0.016,0,0,0,0
062014,8451 PEARL STREET,CO,Government,54,15741,1.0,No,6607627,150504,0,14042176,31560410,419.77,20.94,892.08,44.49,0.184,0.087,0,0,0,0
103045,831 SOUTH STATE ROAD 434,FL,For-Profit,70,23917,1.0,No,6613862,148262,0,13806753,28215998,276.53,23.44,577.28,48.93,0.319,0.68,0,0,0,0
144016,4500 COLLEGE AVE.,IL,Government,134,43137,1.0,No,10756972,361822,245040,19551302,46865425,249.37,22.95,453.24,41.72,1.0,0.0,0,0,0,0
451371,130 HAYS STREET,TX,Nonprofit,23,1838,1.0,No,8078508,0,0,11063760,30070101,4395.27,26.87,6019.46,36.79,0.732,0.264,0,0,0,0
132002,6551 W FRANKLIN STREET,ID,For-Profit,40,9014,1.0,No,3456127,12349,0,7248288,17871290,383.42,19.34,804.11,40.56,0.402,0.235,0,0,0,0
142013,500 WEST ROMEO B GARRETT AVE.,IL,For-Profit,18,5164,1.0,No,6010183,31624,0,11597979,29441068,1163.86,20.41,2245.93,39.39,0.661,0.321,0,0,0,0
192032,2810 AMBASSADOR CAFFERY PKWY 6TH FLO,LA,For-Profit,48,10364,1.0,No,3640015,0,0,5539278,18050991,351.22,20.17,534.47,30.69,0.315,0.302,0,0,0,0
232037,1215 E MICHIGAN AVE,MI,Nonprofit,30,4873,1.0,No,1746080,0,0,3310521,8735222,358.32,19.99,679.36,37.9,0.522,0.426,0,0,0,0
441300,135 EAST SWAN ST.,TN,Nonprofit,25,126,2.0,No,4480466,37941,0,7639841,17468040,35559.25,25.65,60633.66,43.74,0.714,0.286,0,0,0,0
441303,452 HWY 13 S,TN,Nonprofit,25,1019,2.0,No,4044127,144014,0,6770168,13054231,3968.72,30.98,6643.93,51.86,0.339,0.62,0,0,0,0
451365,3201 S. WATER ST.,TX,Nonprofit,21,1736,2.0,No,12245756,0,0,16654042,49020429,7054.01,24.98,9593.34,33.97,0.717,0.283,0,0,0,0
453056,3131 TROUP HWY,TX,For-Profit,94,26717,1.0,No,6185068,147373,0,14347375,29404085,231.5,21.03,537.01,48.79,0.401,0.599,0,0,0,0
523025,2350 N. LAKE DRIVE,WI,Nonprofit,15,3603,1.0,No,2779617,0,0,3602208,7961149,771.47,34.91,999.78,45.25,0.631,0.304,0,0,0,0
053040,1303 MABLE AVENUE,CA,For-Profit,50,13756,1.0,No,5229513,102995,0,13625918,28476658,380.16,18.36,990.54,47.85,0.43,0.539,0,0,0,0
141300,800 SCHOOL STREET,IL,Nonprofit,25,247,2.0,No,2677413,183540,0,5616828,15868369,10839.73,16.87,22740.19,35.4,0.462,0.538,0,0,0,0
154008,5435 E 16TH ST,IN,Government,159,36174,1.0,No,5046882,0,0,16947015,44342436,139.52,11.38,468.49,38.22,0.632,0.0,0,0,0,0
154018,498 N.W. 18TH,IN,Government,213,62015,2.0,No,5737895,0,0,25152473,41080669,92.52,13.97,405.59,61.23,0.908,0.0,0,0,0,0
154019,711 GREEN ROAD,IN,Government,150,39854,2.0,No,4092867,0,0,18515635,34595217,102.7,11.83,464.59,53.52,0.789,0.002,0,0,0,0
154056,3400 LINCOLN AVE,IN,Government,168,52176,1.0,No,3938386,0,0,20546376,33388431,75.48,11.8,393.79,61.54,0.843,0.0,0,0,0,0
192015,2614 JEFFERSON HWY  2ND FLOOR,LA,For-Profit,35,6894,1.0,No,3037936,0,0,5010687,13570820,440.66,22.39,726.82,36.92,0.652,0.23,0,0,0,0
293032,10301 JEFFREYS STREET,NV,For-Profit,90,18898,1.0,No,6053016,145266,0,12942415,27824703,320.3,21.75,684.86,46.51,0.229,0.739,0,0,0,0
372007,744 WEST 9TH ST 5TH FLOOR,OK,For-Profit,46,9172,1.0,No,3305292,0,0,4681682,20097352,360.37,16.45,510.43,23.3,0.486,0.423,0,0,0,0
374001,1222 10TH ST,OK,Government,24,4698,2.0,No,1840424,96651,130319,6355187,16153663,391.75,11.39,1352.74,39.34,0.523,0.048,0,0,0,0
452059,8902 FLOYD CURL DRIVE,TX,For-Profit,62,15028,1.0,No,4304510,270163,0,8975866,28979435,286.43,14.85,597.28,30.97,0.587,0.413,0,0,0,0
452061,2600 ST. MICHAEL DRIVE,TX,For-Profit,30,7180,1.0,No,1993945,203513,0,3642770,11851554,277.71,16.82,507.35,30.74,0.288,0.712,0,0,0,0
504008,1175 CARONDELET DRIVE,WA,For-Profit,22,4089,1.0,No,2200182,172859,0,5338988,14847444,538.07,14.82,1305.7,35.96,0.759,0.228,0,0,0,0
112006,450 CANDLER STREET,GA,Government,43,11842,1.0,No,5353788,8210,0,14119467,30760060,452.1,17.4,1192.32,45.9,0.598,0.346,0,0,0,0
112018,800 E 68TH ST,GA,For-Profit,50,9174,1.0,No,2998146,69700,0,5176614,16566461,326.81,18.1,564.27,31.25,0.267,0.186,0,0,0,0
113031,1441 CLIFTON ROAD,GA,Nonprofit,56,15794,1.0,No,8475719,0,0,10352319,29960604,536.64,28.29,655.46,34.55,0.72,0.265,0,0,0,0
133028,711 NORTH CURTIS ROAD,ID,For-Profit,40,12350,1.0,No,4130944,76714,0,9384185,19864841,334.49,20.8,759.85,47.24,0.388,0.451,0,0,0,0
193031,104 NORTH 3RD ST.,LA,For-Profit,47,9194,1.0,No,3027852,116491,0,6485169,13287874,329.33,22.79,705.37,48.81,0.468,0.526,0,0,0,0
244011,444 LAFAYETTE ROAD,MN,Government,16,5659,1.0,No,2393574,0,0,3770834,9674888,422.97,24.74,666.34,38.98,0.389,0.053,0,0,0,0
252003,1225 NORTH STATE STREET,MS,For-Profit,36,11579,1.0,No,3982024,804,0,5310980,20408297,343.9,19.51,458.67,26.02,0.439,0.561,0,0,0,0
312017,600 RIVER AVENUE,NJ,For-Profit,50,7433,1.0,No,2830516,194992,0,7236156,17642460,380.8,16.04,973.52,41.02,0.205,0.795,0,0,0,0
373034,1200 WEST ALBANY DRIVE,OK,For-Profit,60,21412,1.0,No,4753825,101203,0,10830050,25524629,222.02,18.62,505.79,42.43,0.386,0.488,0,0,0,0
390025,136 WEST DIAMOND STREET,PA,Nonprofit,14,536,1.0,No,2563819,-1483,0,4493183,7709121,4783.24,33.26,8382.8,58.28,1.0,0.0,0,0,0,0
012012,809 UNIVERSITY BLVD E. 4TH FLOOR,AL,Nonprofit,32,3483,1.0,No,1252234,121712,0,2002859,5779008,359.53,21.67,575.04,34.66,0.506,0.494,0,0,0,0
083026,250 EAST HAMPDEN ROAD,DE,For-Profit,40,14167,1.0,No,4478215,87332,0,9032791,18622387,316.1,24.05,637.59,48.51,0.294,0.706,0,0,0,0
103043,2275 SW 22ND LANE,FL,For-Profit,80,19750,1.0,No,6179551,93965,0,14175090,26949595,312.89,22.93,717.73,52.6,0.39,0.61,0,0,0,0
151301,473 GREENVILLE AVE.,IN,Nonprofit,25,1373,2.0,No,5053883,0,0,8902484,21964109,3680.91,23.01,6483.97,40.53,0.731,0.165,0,0,0,0
151303,301 HENRY STREET,IN,Nonprofit,17,515,2.0,No,4107368,0,0,7171649,16622666,7975.47,24.71,13925.53,43.14,0.579,0.386,0,0,0,0
151307,412 NORTH MONROE,IN,Nonprofit,16,1133,2.0,No,4620565,0,0,8099479,22494681,4078.17,20.54,7148.7,36.01,0.462,0.488,0,0,0,0
151308,1331 SOUTH A ST.,IN,Nonprofit,18,734,1.0,No,5332050,0,0,9440140,23311689,7264.37,22.87,12861.23,40.5,0.766,0.204,0,0,0,0
151314,911 N. SHELBY STREET,IN,Nonprofit,25,245,2.0,No,4231635,0,0,7748863,17785196,17271.98,23.79,31628.01,43.57,0.543,0.404,0,0,0,0
231327,321 EAST HARRIS STREET,MI,Nonprofit,25,1658,1.0,No,3967556,126389,285706,10895032,30650759,2392.98,12.94,6571.19,35.55,0.768,0.215,0,0,0,0
244012,444 LAFAYETTE ROAD,MN,Government,16,5691,2.0,No,2365647,0,0,3671356,9398696,415.68,25.17,645.12,39.06,0.472,0.064,0,0,0,0
244014,444 LAFAYETTE ROAD,MN,Government,16,5282,2.0,No,2231772,0,0,3658399,8703847,422.52,25.64,692.62,42.03,0.367,0.088,0,0,0,0
261308,300 HEALTHWAY,MO,Government,25,1619,2.0,No,5181467,318406,0,10679057,26717479,3200.41,19.39,6596.08,39.97,0.61,0.301,0,0,0,0
362029,4200 INTERCHANGE CORPORATE CTR RD,OH,For-Profit,87,20710,1.0,No,8476315,154736,0,13797559,43109916,409.29,19.66,666.23,32.01,0.56,0.312,0,0,0,0
372019,1900 GORDON COOPER DRIVE  2ND FLOOR,OK,For-Profit,26,7047,1.0,No,1576228,226935,0,4744679,13064692,223.67,12.06,673.29,36.32,0.34,0.425,0,0,0,0
372022,351 SOUTH 40TH STREET,OK,For-Profit,64,19686,1.0,No,3754225,731080,0,11250877,31526643,190.71,11.91,571.52,35.69,0.376,0.487,0,0,0,0
392045,1500 FIFTH AVE CRAWFORD 6TH FLOOR,PA,For-Profit,30,6158,1.0,No,2842948,17317,0,3934689,12200465,461.67,23.3,638.96,32.25,0.736,0.264,0,0,0,0
422004,389 SERPENTINE DRIVE,SC,Government,37,10139,1.0,No,5939923,89985,0,12630310,28687541,585.85,20.71,1245.72,44.03,0.562,0.437,0,0,0,0
422005,1200 HOSPITAL DRIVE,SC,For-Profit,59,12801,1.0,No,4788909,109840,0,10011753,21834589,374.1,21.93,782.11,45.85,0.639,0.354,0,0,0,0
452029,1900 PINE STREET,TX,Nonprofit,23,7197,1.0,No,1532752,26730,0,2763017,10522885,212.97,14.57,383.91,26.26,0.513,0.487,0,0,0,0
452101,508 VICTORIA LANE,TX,For-Profit,70,20979,1.0,No,3713417,833842,0,11105118,33659778,177.01,11.03,529.34,32.99,0.675,0.325,0,0,0,0
454094,7808 CLODUS FIELDS DRIVE,TX,For-Profit,124,38889,1.0,No,12364258,0,0,21796438,38064860,317.94,32.48,560.48,57.26,0.929,0.07,0,0,0,0
512002,3200 MACCORKLE AVE SE,WV,For-Profit,32,10052,1.0,No,4015471,-12,0,5053362,17337476,399.47,23.16,502.72,29.15,0.422,0.566,0,0,0,0
012009,50 MEDICAL PARK EAST  8TH FLOOR,AL,Nonprofit,34,5980,1.0,No,1856104,171323,0,2723593,9502368,310.39,19.53,455.45,28.66,0.691,0.309,0,0,0,0
034033,1400 N. WILMOT ROAD,AZ,For-Profit,106,22514,1.0,No,4034739,348123,0,7968171,16660278,179.21,24.22,353.92,47.83,0.965,0.035,0,0,0,0
054133,11400 SO. NORWALK BLVD.,CA,Government,1004,279858,1.0,No,84030791,2309635,0,185033346,341692174,300.26,24.59,661.17,54.15,1.0,0.0,0,0,0,0
161358,417 SOUTH EAST STREET,IA,Government,25,1201,2.0,No,3448096,479289,0,8512017,38631971,2871.02,8.93,7087.44,22.03,0.598,0.4,0,0,0,0
182004,85 NORTH GRAND AVENUE,KY,For-Profit,33,6350,1.0,No,2528053,-15,0,3655612,12866202,398.12,19.65,575.69,28.41,0.673,0.264,0,0,0,0
183028,134 HEARTLAND DRIVE,KY,For-Profit,40,8898,1.0,No,3226045,49859,0,5973347,12621735,362.56,25.56,671.31,47.33,0.4,0.587,0,0,0,0
193093,307 POLLY LANE,LA,For-Profit,32,7510,1.0,No,2370738,180124,0,4014075,11765255,315.68,20.15,534.5,34.12,0.312,0.686,0,0,0,0
292007,4015 MCLOUD DR.,NV,For-Profit,24,4162,1.0,No,1914915,73076,0,3012840,8451249,460.09,22.66,723.89,35.65,0.456,0.449,0,0,0,0
363038,33355 HEALTH CAMPUS BOULEVARD,OH,For-Profit,180,62218,1.0,No,21567096,391824,0,30764603,91250483,346.64,23.64,494.46,33.71,0.51,0.472,0,0,0,0
364011,1756 SAGAMORE ROAD,OH,Government,259,92701,1.0,No,9233012,1045927,108092,22798510,64388383,99.6,14.34,245.94,35.41,0.725,0.019,0,0,0,0
452032,709 MEDICAL CTR BLVD,TX,For-Profit,88,7482,1.0,No,2869393,75204,0,8284215,18586443,383.51,15.44,1107.22,44.57,0.675,0.325,0,0,0,0
452060,7501 WALLACE BLVD.,TX,For-Profit,54,3870,1.0,No,1853487,15921,0,3443591,8498724,478.94,21.81,889.82,40.52,0.465,0.535,0,0,0,0
