provider_number,hospital_name,state,ownership,beds,discharges,cmi,teaching,ag_cost_total,med_records_cost,nursing_admin_cost,full_overhead,total_hospital_costs,admin_per_discharge,admin_pct_of_total,overhead_per_discharge,overhead_pct_of_total,commercial_payer_pct,medicare_pct,ag_purchased_services,ag_it,ag_insurance,ag_other
431301,1300 OAK STREET,SD,Nonprofit,12,420,2.0,No,1928274,0,0,4379570,11529054,4591.13,16.73,10427.55,37.99,0.176,0.752,0,0,0,0
453091,906 JAMES STREET,TX,For-Profit,32,6248,1.0,No,2806970,78314,0,5124550,10587496,449.26,26.51,820.19,48.4,0.666,0.334,0,0,0,0
521321,845 PARKSIDE STREET,WI,Nonprofit,15,1678,2.0,No,6633166,0,0,12294201,28370189,3953.02,23.38,7326.7,43.33,0.606,0.31,0,0,0,0
521341,333 EAST SECOND STREET,WI,Nonprofit,21,2741,2.0,No,9182967,687870,117880,21781826,60826732,3350.23,15.1,7946.67,35.81,0.474,0.486,0,0,0,0
370225,1800 S. RENAISSANCE BLVD,OK,For-Profit,9,945,1.0,No,4764068,297502,0,9973061,34252001,5041.34,13.91,10553.5,29.12,0.925,0.073,0,0,0,0
400109,SANTA CRUZ # 70,RI,For-Profit,379,25346,1.0,No,24837920,670355,0,43466593,91058647,979.95,27.28,1714.93,47.73,0.956,0.044,0,0,0,0
521328,900 COLLEGE AVE WEST,WI,Nonprofit,25,766,2.0,No,9262145,1108997,0,13554104,33472805,12091.57,27.67,17694.65,40.49,0.551,0.431,0,0,0,0
061328,95 SOUTH PAGOSA BOULEVARD,CO,Government,11,546,2.0,No,6437824,315541,0,12639125,36763906,11790.89,17.51,23148.58,34.38,0.353,0.529,0,0,0,0
063035,8451 PEARL STREET  SUITE 101,CO,For-Profit,31,9394,1.0,No,3619443,82914,0,6736611,14467452,385.29,25.02,717.12,46.56,0.351,0.288,0,0,0,0
310012,223 N. VAN DIEN AVENUE,NJ,Nonprofit,349,90184,1.0,No,115536035,5923410,0,247149014,835217359,1281.11,13.83,2740.5,29.59,0.565,0.43,0,0,0,0
351321,1007 4TH AVENUE SOUTH,ND,Nonprofit,24,419,2.0,No,1835355,208840,0,4468925,9515615,4380.32,19.29,10665.69,46.96,0.21,0.778,0,0,0,0
423030,1530 PARKWAY,SC,For-Profit,42,9849,2.0,No,4656865,99209,0,9081290,19641656,472.83,23.71,922.05,46.23,0.226,0.774,0,0,0,0
453025,1333 MOURSUND,TX,Nonprofit,134,37217,1.0,No,41558207,1754288,0,78618874,172582531,1116.65,24.08,2112.45,45.55,0.864,0.136,0,0,0,0
043036,4313 S. PLEASANT CROSSING BLVD,AR,For-Profit,36,6214,1.0,No,2499239,257035,0,4220697,11757378,402.19,21.26,679.22,35.9,0.296,0.704,0,0,0,0
373036,7900 MID-AMERICA BLVD,OK,For-Profit,36,7418,1.0,No,2860169,245106,0,5868803,12951751,385.57,22.08,791.16,45.31,0.291,0.702,0,0,0,0
461308,380 WEST 100 NORTH,UT,Government,20,524,2.0,No,3122612,186924,0,7740664,22401775,5959.18,13.94,14772.26,34.55,0.473,0.416,0,0,0,0
521327,620 WEST BROWN STREET,WI,Nonprofit,25,2269,2.0,No,8403618,0,0,15478993,43082488,3703.67,19.51,6821.94,35.93,0.595,0.211,0,0,0,0
103057,5075 INNOVATION WAY,FL,For-Profit,42,5063,1.0,No,1959999,104234,0,4163829,10395833,387.12,18.85,822.4,40.05,0.123,0.877,0,0,0,0
141306,400 CALDWELL STREET,IL,Nonprofit,25,256,1.0,No,2400565,76466,0,5454524,17734552,9377.21,13.54,21306.73,30.76,0.586,0.414,0,0,0,0
194031,1525 RIVER OAKS W. AVE,LA,For-Profit,121,28284,1.0,No,4498095,253529,0,12568032,21786980,159.03,20.65,444.35,57.69,0.929,0.032,0,0,0,0
313038,200 MADISON AVENUE,NJ,For-Profit,38,11982,1.0,No,4384006,20176,0,8013881,18960230,365.88,23.12,668.83,42.27,0.322,0.674,0,0,0,0
360263,801 MEDICAL DRIVE,OH,For-Profit,12,1230,1.0,No,4846709,261728,0,11774887,36495925,3940.41,13.28,9573.08,32.26,0.461,0.524,0,0,0,0
370244,10109 E 79TH ST,OK,Government,40,508,1.0,No,12450370,0,0,14594415,29710963,24508.6,41.9,28729.16,49.12,0.659,0.11,0,0,0,0
050785,6000 SAN VICENTE BLVD,CA,For-Profit,17,574,1.0,No,2906157,0,0,4590846,15251912,5062.99,19.05,7997.99,30.1,0.603,0.397,0,0,0,0
054154,455 SILICON VALLEY BLVD,CA,For-Profit,133,31838,1.0,No,10323573,718537,0,19985436,40450601,324.25,25.52,627.72,49.41,0.886,0.075,0,0,0,0
103047,3840 ATMORE GROVE DRIVE,FL,For-Profit,50,15772,1.0,No,5894398,97693,0,11127113,23231546,373.73,25.37,705.5,47.9,0.298,0.702,0,0,0,0
331316,150 BROAD ST,NY,Nonprofit,25,2665,2.0,No,6742822,561245,0,16251160,56059682,2530.14,12.03,6098.0,28.99,0.633,0.362,0,0,0,0
423031,160 HAROLD FLEMING COURT,SC,For-Profit,40,12374,1.0,No,4431830,141474,0,8640446,18660156,358.16,23.75,698.27,46.3,0.329,0.671,0,0,0,0
423034,20 PINNACLE PKWY,SC,For-Profit,40,9375,1.0,No,3993521,90844,0,7324759,16506118,425.98,24.19,781.31,44.38,0.341,0.659,0,0,0,0
030108,6501 N 19TH AVE,AZ,For-Profit,28,1072,1.0,No,25946410,264137,0,31281505,100792223,24203.74,25.74,29180.51,31.04,0.722,0.278,0,0,0,0
031302,901 W REX ALLEN DRIVE,AZ,Government,24,400,1.0,No,6290514,244612,0,8682048,18480402,15726.28,34.04,21705.12,46.98,0.438,0.422,0,0,0,0
034023,2187 NORTH VICKEY STREET,AZ,Nonprofit,16,4486,1.0,No,3892376,64868,0,6095774,18322608,867.67,21.24,1358.84,33.27,0.575,0.101,0,0,0,0
043033,2210 ROBINSON AVE,AR,For-Profit,26,4316,1.0,No,2092815,19075,0,3122508,6178316,484.9,33.87,723.47,50.54,0.259,0.711,0,0,0,0
063033,4401 UNION STREET,CO,For-Profit,40,14211,1.0,No,4392502,185700,0,8858473,21848726,309.09,20.1,623.35,40.54,0.364,0.549,0,0,0,0
103031,6400 EDGELAKE DRIVE,FL,For-Profit,116,36379,1.0,No,9412905,237059,0,20831300,42910653,258.75,21.94,572.62,48.55,0.238,0.762,0,0,0,0
103032,1600 37TH STREET,FL,For-Profit,80,20287,1.0,No,5987644,118676,0,13317803,26949065,295.15,22.22,656.47,49.42,0.246,0.754,0,0,0,0
103054,14305 COLLIER BOULEVARD,FL,For-Profit,50,15575,1.0,No,6142935,63894,0,11729646,23361982,394.41,26.29,753.11,50.21,0.242,0.758,0,0,0,0
190303,42570 S. AIRPORT ROAD,LA,For-Profit,30,912,1.0,No,4988929,348637,0,9938261,34835194,5470.32,14.32,10897.22,28.53,0.781,0.219,0,0,0,0
320091,2560 SAMARITAN DR,NM,For-Profit,36,6463,1.0,No,19008144,242075,0,26588855,77905144,2941.07,24.4,4114.01,34.13,0.713,0.282,0,0,0,0
111316,5995 SPRING STREET,GA,For-Profit,25,175,2.0,No,2039378,136929,0,4987909,16180898,11653.59,12.6,28502.34,30.83,0.234,0.497,0,0,0,0
111336,162 LEGACY POINT,GA,For-Profit,25,340,2.0,No,3846090,217560,0,6390220,17852743,11312.03,21.54,18794.76,35.79,0.594,0.368,0,0,0,0
241325,824 NORTH 11TH STREET,MN,Government,25,1737,2.0,No,6054216,883320,0,16394207,49591807,3485.44,12.21,9438.23,33.06,0.497,0.34,0,0,0,0
423029,1 SPRING BACK WAY,SC,For-Profit,60,16191,1.0,No,4187220,109612,0,8709622,17793673,258.61,23.53,537.93,48.95,0.183,0.817,0,0,0,0
520215,4100 STATE HIGHWAY 66,WI,Nonprofit,5,577,2.0,No,9126097,1666143,0,14755181,41281665,15816.46,22.11,25572.24,35.74,0.674,0.314,0,0,0,0
521333,711 WEST ADAMS STREET,WI,Nonprofit,25,1256,2.0,No,10116496,2806030,362016,25164819,53664346,8054.54,18.85,20035.68,46.89,0.561,0.35,0,0,0,0
030131,750 NORTH 40TH STREET,AZ,For-Profit,60,3049,1.0,No,3973895,782470,0,12361933,62673439,1303.34,6.34,4054.42,19.72,0.604,0.396,0,0,0,0
103053,1730 NE PINE ISLAND ROAD,FL,For-Profit,40,12465,1.0,No,5392191,65345,0,10241936,19867269,432.59,27.14,821.66,51.55,0.236,0.764,0,0,0,0
111314,11470 COLUMBIA STREET,GA,For-Profit,25,304,2.0,No,3978950,104467,0,8001497,20789052,13088.65,19.14,26320.71,38.49,0.536,0.405,0,0,0,0
141327,1418 COLLEGE DRIVE,IL,Government,25,1602,2.0,No,10305166,1624305,0,18656154,70598287,6432.69,14.6,11645.54,26.43,0.281,0.716,0,0,0,0
143029,3402 ANDERSON HEALTHCARE DRIVE,IL,For-Profit,34,7312,1.0,No,3473778,194264,0,5418256,13166478,475.08,26.38,741.01,41.15,0.314,0.685,0,0,0,0
463027,5825 HARRISON BLVD,UT,For-Profit,40,6481,1.0,No,3658648,55296,0,6419080,13366767,564.52,27.37,990.45,48.02,0.237,0.747,0,0,0,0
103052,11595 BURNT MILL ROAD,FL,For-Profit,50,10162,1.0,No,4838026,53505,0,9054850,18167906,476.09,26.63,891.05,49.84,0.252,0.748,0,0,0,0
113300,1405 CLIFTON ROAD,GA,Nonprofit,201,53606,1.0,No,147395447,2511182,0,203661160,723718207,2749.61,20.37,3799.22,28.14,0.727,0.009,0,0,0,0
114036,2209 PINEVIEW DRIVE,GA,For-Profit,113,38035,1.0,No,5648630,587738,0,11666209,23350125,148.51,24.19,306.72,49.96,0.885,0.115,0,0,0,0
154051,2700 VISSING PARK ROAD,IN,For-Profit,100,21810,1.0,No,4962965,358523,0,10768834,19925613,227.55,24.91,493.76,54.05,0.882,0.032,0,0,0,0
294011,7000 WEST SPRING MOUNTAIN ROAD,NV,For-Profit,110,26374,1.0,No,7752310,367061,0,14350010,22782968,293.94,34.03,544.1,62.99,0.847,0.076,0,0,0,0
353026,4671 38TH STREET,ND,For-Profit,42,14731,1.0,No,3492775,229539,0,7083876,20873817,237.1,16.73,480.88,33.94,0.176,0.81,0,0,0,0
370210,2408 EAST 81ST STREET,OK,For-Profit,68,4904,1.0,No,10703402,1495651,0,22800519,120740884,2182.59,8.86,4649.37,18.88,0.556,0.364,0,0,0,0
451382,10201 HIGHWAY 16 NORTH,TX,Nonprofit,16,1604,2.0,No,6988196,284225,0,15176116,48022831,4356.73,14.55,9461.42,31.6,0.412,0.585,0,0,0,0
464014,1350 EAST 750 NORTH,UT,For-Profit,80,21656,1.0,No,4046813,154358,0,8859949,15453657,186.87,26.19,409.12,57.33,0.916,0.014,0,0,0,0
523027,1625 COLDWATER CREEK DRIVE,WI,For-Profit,40,11991,1.0,No,3904609,281892,0,7236461,18020477,325.63,21.67,603.49,40.16,0.407,0.59,0,0,0,0
031301,475 S. OCOTILLO,AZ,Nonprofit,22,284,2.0,No,7456798,319176,0,11011992,25057823,26256.33,29.76,38774.62,43.95,0.616,0.342,0,0,0,0
053041,70077 RAMON ROAD,CA,For-Profit,50,10259,1.0,No,4035558,138674,0,9713499,22746616,393.37,17.74,946.83,42.7,0.309,0.687,0,0,0,0
251322,25117 HWY 15,MS,Nonprofit,25,340,2.0,No,6999849,72621,0,11701690,33813141,20587.79,20.7,34416.74,34.61,0.374,0.612,0,0,0,0
332006,1740 EASTCHESTER ROAD,NY,Nonprofit,225,75256,1.0,No,17707744,567083,0,55536483,130801156,235.3,13.54,737.97,42.46,0.276,0.633,0,0,0,0
440218,2011 MURPHY AVENUE  THIRD FLOOR,TN,For-Profit,21,2082,1.0,No,4029341,22895,0,6908002,44976209,1935.32,8.96,3317.96,15.36,0.756,0.244,0,0,0,0
443034,1240 S. GERMANTOWN ROAD,TN,For-Profit,53,16650,1.0,No,3630311,366807,0,7574724,20334131,218.04,17.85,454.94,37.25,0.3,0.689,0,0,0,0
491305,759 MAIN STREET,VA,Nonprofit,25,4500,2.0,No,13267350,55,0,29535981,74532773,2948.3,17.8,6563.55,39.63,0.565,0.408,0,0,0,0
