hcpcs_cd,modifier,description,status,work_rvu,pe_rvu_nf,pe_rvu_f,mp_rvu,total_rvu_nf,total_rvu_f,conversion_factor
76885,,Us exam infant hips dynamic,A,0.74,3.23,3.23,0.06,4.03,4.03,32.3465
76886,,Us exam infant hips static,A,0.62,2.31,2.31,0.04,2.97,2.97,32.3465
76932,,Echo guide for heart biopsy,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76936,,Echo guide for artery repair,A,1.99,5.49,5.49,0.24,7.72,7.72,32.3465
76937,,Us guide vascular access,A,0.3,0.82,0.82,0.03,1.15,1.15,32.3465
76940,,Us guide tissue ablation,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76941,,Echo guide for transfusion,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76942,,Echo guide for biopsy,A,0.67,1.06,1.06,0.04,1.77,1.77,32.3465
76945,,Echo guide villus sampling,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76946,,Echo guide for amniocentesis,A,0.38,0.6,0.6,0.02,1.0,1.0,32.3465
76948,,Echo guide ova aspiration,A,0.67,1.7,1.7,0.02,2.39,2.39,32.3465
76965,,Echo guidance radiotherapy,A,1.34,1.47,1.47,0.05,2.86,2.86,32.3465
76975,,Gi endoscopic ultrasound,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76977,,Us bone density measure,A,0.05,0.15,0.15,0.02,0.22,0.22,32.3465
76978,,Us trgt dyn mbubb 1st les,A,1.62,4.11,4.11,0.09,5.82,5.82,32.3465
76979,,Us trgt dyn mbubb ea addl,A,0.85,2.8,2.8,0.05,3.7,3.7,32.3465
76981,,Use parenchyma,A,0.59,2.53,2.53,0.05,3.17,3.17,32.3465
76982,,Use 1st target lesion,A,0.59,2.14,2.14,0.04,2.77,2.77,32.3465
76983,,Use ea addl target lesion,A,0.47,1.28,1.28,0.03,1.78,1.78,32.3465
76984,,Dx intraop thoracic aorta us,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76987,,Dx intraop epicar car us chd,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76988,,Dx ntrop epcr us chd img acq,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76989,,Dx intraop epcar us chd i&r,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76998,,Us guide intraop,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
76999,,Echo examination procedure,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77001,,Fluoroguide for vein device,A,0.38,2.48,2.48,0.05,2.91,2.91,32.3465
77002,,Needle localization by xray,A,0.54,2.83,2.83,0.04,3.41,3.41,32.3465
77003,,Fluoroguide for spine inject,A,0.6,2.44,2.44,0.04,3.08,3.08,32.3465
77011,,Ct scan for localization,A,1.21,5.25,5.25,0.08,6.54,6.54,32.3465
