size_band,n_plans,total_covered,premium_per_life_p10,premium_per_life_p25,premium_per_life_p50,premium_per_life_p75,premium_per_life_p90,premium_per_life_mean,p75_over_p25_ratio
1_micro (<100),359,52435,2162.8753901560626,4129.634848484849,6346.6815286624205,9626.345114429476,13281.071794871792,7413.6747221379155,2.3310402656935527
2_small (100-499),5938,2911060,1536.8526638851001,3592.3965378175285,5816.686267639903,8507.956187584346,11967.086731947229,6547.389753472305,2.368323234370208
3_medium (500-2499),1445,2528983,421.41707052174286,1570.5832049306625,4732.785202863962,6781.362366474938,9621.130130039997,4889.716677950993,4.317735186003291
4_large (2500-9999),316,1684918,35.30132247813286,256.37211533493996,1938.3254654198995,5278.688211164956,7745.239010109684,3329.817543470859,20.589946782116144
5_jumbo (10000+),177,7168514,19.129061599110305,84.90454205597422,326.4473645066352,2674.347352024922,5217.616023010721,1903.4242762427893,31.498283687365397
