size_band,n_plans,p25_admin_per_p,p50_admin_per_p,gap_to_p25_usd
1_micro (<100),1301,639.505376344086,852.15,33035221.430107526
2_small (100-499),3078,300.10419594458943,655.6237654691818,476603017.09275246
3_medium (500-2499),1938,345.86958379837984,676.0144940335158,1430723048.592573
4_large (2500-9999),592,327.99023095555225,692.0692703143925,1905697165.177466
5_jumbo (10000+),285,190.34783419302715,538.2584793374672,4821704506.635883
