size_band,n_plans,n_plans_with_broker,n_plans_with_premium,total_covered_lives,total_broker_comp_usd,total_premium_usd,per_life_p10,per_life_p25,per_life_p50,per_life_p75,per_life_p90,per_life_mean,ratio_p10,ratio_p25,ratio_p50,ratio_p75,ratio_p90,ratio_mean
1_micro (<100),3506,2773,366,1025996,135584651.0,418999797.0,64.2253086419753,110.46612333071485,255.12842130987292,399.9145104895105,587.036769327467,351.6481924187932,0.0199865531884054,0.031043950191203387,0.04721454039080701,0.061728515700832966,0.12556486740878117,0.06821697587542018
2_small (100-499),33637,30678,5962,14878385,2600386376.0,14052851560.0,56.64926575698506,138.15384615384616,234.80149812734084,349.747572815534,490.7115153243051,284.8679298305195,0.018962839150068786,0.02948353835675476,0.04244927359550395,0.059085942922131506,0.09754508430107622,0.06364495899675819
3_medium (500-2499),8025,6422,1454,9801095,1055320133.0,11969750799.0,13.965788257050393,48.75186567164179,128.1252977608385,239.4388349514563,363.24666666666667,224.67798908555227,0.00649289299545952,0.016676027685001066,0.031156444375567936,0.059097382331099194,0.16971133470178532,0.07171232157765338
4_large (2500-9999),1920,1261,319,6891392,290769010.0,4313474840.0,5.448953869422738,21.01329576124011,67.48464163822526,164.3705948856458,306.7889591719379,165.51317859820463,0.002191148291348204,0.011475126234134544,0.04510354296791558,0.10283831964970594,0.24756229840290717,0.09812905504898978
5_jumbo (10000+),819,491,177,20287111,382653908.0,6931249358.0,2.0572614107883815,10.202966550484126,28.744122965641953,98.60724653323125,226.53333333333333,155.16559864292503,0.0028393721698773675,0.017943080642424704,0.05257294182153315,0.1622439185430851,0.7313629098030657,0.17588631457346154
Unknown,88,55,8,0,2318366.0,2095568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02240373180438188,0.032821732769093705,0.044060373162332925,0.12088030457351218,0.24934462937051616,0.10964166418027298
