key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
340968235|501,20240514053005NAL0045332960001,333.0,mixed,110612.0,73741.0,36871.0,2482202.0,252.0,14600.0,11910.0,2690.0,0.04456204611872845,43.84384384384384
311323837|501,20240514145400NAL0047605329001,201.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,29976.0,29976.0,0.0,0.09443368733294975,149.13432835820896
311323837|501,20240514145706NAL0033370339001,225.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,38075.0,38075.0,0.0,0.09443368733294975,169.22222222222223
311323837|501,20240514145707NAL0046252912001,257.0,mixed,186938.0,168492.0,18446.0,1979569.0,2105.0,46156.0,46156.0,0.0,0.09443368733294975,179.5953307392996
431326059|501,20240429133006NAL0011798353001,206.0,fully_insured,40524.0,40524.0,0.0,2514155.0,320.0,21229.0,21229.0,0.0,0.01611833797041153,103.05339805825243
851559210|501,20240708153354NAL0008064707001,88.0,mixed,47543.0,-71.0,47614.0,1877097.0,111.0,50082.0,50082.0,0.0,0.02532793989868398,569.1136363636364
752576978|501,20240709135151NAL0021112464001,9.0,mixed,3211.0,3211.0,0.0,35947.0,9.0,7544.0,7544.0,0.0,0.08932595209614154,838.2222222222222
381273676|502,20240510125543NAL0041554849001,82.0,mixed,4546.0,2782.0,1764.0,75818.0,84.0,99533.0,99533.0,0.0,0.059959376401382256,1213.8170731707316
111986323|501,20240422121223NAL0000081968001,1323.0,mixed,142638.0,134031.0,8607.0,801358.0,2854.0,16487.0,0.0,16487.0,0.17799535288847182,12.46182917611489
382849658|501,20240709131507NAL0027428242004,147.0,fully_insured,3562.0,1408.0,2154.0,2434323.0,299.0,39209.0,39209.0,0.0,0.00146324049848767,266.7278911564626
383289521|501,20240709131507NAL0027428242005,113.0,mixed,54332.0,53405.0,927.0,1003327.0,179.0,79930.0,79930.0,0.0,0.05415183683883719,707.3451327433628
381740297|501,20240709131507NAL0027428242003,78.0,fully_insured,28735.0,27784.0,951.0,557243.0,86.0,30130.0,30130.0,0.0,0.05156637230077363,386.28205128205127
911995556|502,20240710172512NAL0009848707001,175.0,mixed,48595.0,46375.0,2220.0,990125.0,148.0,67946.0,67946.0,0.0,0.04907966165888145,388.2628571428571
300747677|501,20240628150418NAL0000553859001,1002.0,mixed,30091.0,26360.0,3731.0,2765237.0,806.0,1247447.0,887468.0,359979.0,0.010881888243213874,1244.9570858283432
592128697|520,20240710104114NAL0009484099001,528.0,mixed,269968.0,269968.0,0.0,10058344.0,1566.0,25639.0,25639.0,0.0,0.026840203516602733,48.558712121212125
800717919|501,20240710132548NAL0014941121002,167.0,mixed,78651.0,78651.0,0.0,2247181.0,409.0,84866.0,84866.0,0.0,0.03499985092433587,508.1796407185629
760555667|501,20240425121340NAL0019388656002,493.0,mixed,46947.0,45211.0,1736.0,2336245.0,493.0,194416.0,194416.0,0.0,0.020095067084145712,394.3529411764706
383024767|504,20240709083006NAL0015118241002,456.0,fully_insured,67043.0,67043.0,0.0,2193447.0,456.0,67043.0,67043.0,0.0,0.030565133326677145,147.02412280701753
462116941|509,20240708165652NAL0007445155001,614.0,mixed,17704.0,17704.0,0.0,2876611.0,338.0,53811.0,53811.0,0.0,0.006154464402729462,87.6400651465798
237411014|502,20240709083111NAL0020604304001,167.0,fully_insured,61145.0,88.0,61057.0,1166755.0,167.0,61057.0,61057.0,0.0,0.052406032114711315,365.61077844311376
460547825|501,20240708111150NAL0019771792001,3.0,mixed,1242.0,1152.0,90.0,15407.0,3.0,654.0,654.0,0.0,0.08061270850911924,218.0
473635290|503,20240501084348NAL0026481858001,136.0,mixed,46248.0,0.0,46248.0,584744.0,141.0,46248.0,46248.0,0.0,0.07909102102800541,340.05882352941177
271893486|501,20240708154649NAL0008079331001,320.0,mixed,7600.0,7596.0,4.0,2760936.0,279.0,13835.0,13835.0,0.0,0.0027526896675620152,43.234375
611855879|501,20240710110620NAL0022692864001,448.0,fully_insured,103291.0,96200.0,7091.0,4720615.0,2160.0,5613.0,5613.0,0.0,0.021880835441992198,12.529017857142858
382706146|503,20240717093008NAL0003815601003,230.0,fully_insured,51963.0,16990.0,34973.0,254707.0,728.0,222437.0,222437.0,0.0,0.20401088309312268,967.1173913043478
363168081|501,20240717093035NAL0002262803001,1431.0,mixed,104280.0,104280.0,0.0,12289763.0,2115.0,79552.0,79552.0,0.0,0.008485110738099669,55.591893780573024
480847237|501,20240715084850NAL0000705731001,186.0,fully_insured,10158.0,9819.0,339.0,404414.0,281.0,123067.0,123067.0,0.0,0.025117824803295632,661.6505376344086
521708143|503,20240715134507NAL0001338385004,180.0,mixed,22225.0,22205.0,20.0,751546.0,172.0,604.0,604.0,0.0,0.02957237481138879,3.3555555555555556
463882269|501,20240715140513NAL0003651666001,386.0,mixed,50216.0,50216.0,0.0,280277.0,653.0,164279.0,164279.0,0.0,0.1791656111632421,425.59326424870466
260518421|501,20240715153125NAL0002806560002,559.0,mixed,153520.0,153520.0,0.0,8366498.0,1154.0,16991.0,16991.0,0.0,0.01834937389574467,30.3953488372093
381459365|511,20240715090949NAL0001070113001,174.0,fully_insured,83837.0,81340.0,2497.0,1535607.0,340.0,6231.0,6231.0,0.0,0.05459534894019108,35.810344827586206
222518284|501,20240716154339NAL0004873456001,642.0,mixed,72345.0,72345.0,0.0,2562057.0,250.0,10948.0,10948.0,0.0,0.028237076692673113,17.052959501557634
131826332|510,20240715120136NAL0001223665001,1140.0,mixed,419266.0,384266.0,35000.0,62537125.0,4693.0,56446.0,56446.0,0.0,0.006704273661445102,49.5140350877193
