size_band,n_plans_with_ratio,pct_over_3pct,pct_over_5pct,pct_over_10pct,excess_above_3pct_usd,excess_above_5pct_usd
1_micro (<100),283,0.7703180212014135,0.4381625441696113,0.12014134275618374,4057556.46,1559856.0
2_small (100-499),5122,0.7329168293635299,0.3678250683326825,0.09625146427176884,167461696.74,79418299.1
3_medium (500-2499),1163,0.5184866723989682,0.30868443680137575,0.15563198624247634,69023605.95,40718908.199999996
4_large (2500-9999),204,0.5882352941176471,0.4264705882352941,0.2647058823529412,28362138.27,18721638.9
5_jumbo (10000+),119,0.7058823529411765,0.5714285714285714,0.3445378151260504,80359853.95,60835725.4
Unknown,4,0.75,0.25,0.25,29447.739999999998,17572.9
