hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
45340,108148.069999585,139545.25999976997,1076.0,0.0,0.0,0.0,108148.069999585,139545.25999976997,0.15,colon,0.15,colon,0.15,16222.21049993775,20931.788999965494,4709.578500027745,0.0,False
45341,185059.49999285,239410.54000465,1715.0,0.0,0.0,0.0,185059.49999285,239410.54000465,0.15,colon,0.15,colon,0.15,27758.9249989275,35911.5810006975,8152.656001769999,0.0,False
45342,55667.28000066001,71617.19000097,393.0,0.0,0.0,0.0,55667.28000066001,71617.19000097,0.15,colon,0.15,colon,0.15,8350.092000099,10742.5785001455,2392.4865000464997,0.0,False
45343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False
45344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False
45345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False
45378,58925314.79974557,76658141.86936966,322517.0,0.0,0.0,0.0,58925314.79974557,76658141.86936966,0.15,colon,0.15,colon,0.15,8838797.219961835,11498721.280405449,2659924.0604436137,0.0,False
45379,151626.52000206,190546.39000463,1020.0,0.0,0.0,0.0,151626.52000206,190546.39000463,0.15,colon,0.15,colon,0.15,22743.978000308998,28581.958500694498,5837.9805003855,0.0,False
45380,253961581.4231959,312111886.13479656,1337772.0,0.0,0.0,0.0,253961581.4231959,312111886.13479656,0.15,colon,0.15,colon,0.15,38094237.213479385,46816782.92021948,8722545.706740096,0.0,False
45381,7507827.910037382,9137332.58018082,85316.0,0.0,0.0,0.0,7507827.910037382,9137332.58018082,0.15,colon,0.15,colon,0.15,1126174.186505607,1370599.887027123,244425.70052151592,0.0,False
