hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed,weighted_commercial_mult,weighted_medicaid_mult,ma_eq,comm_eq,medicaid_eq
45331,4114239.81983113,5269627.499930089,36534.0,0.0,0.0,0.0,4114239.81983113,5269627.499930089,0.15,colon,0.15,colon,0.15,617135.9729746695,790444.1249895134,173308.1520148439,0.0,False,1.423709562608961,0.6296808419267865,591531.395372529,571104.5510001146,116579.60971379894
45332,24773.559999881003,31799.310000179998,293.0,0.0,0.0,0.0,24773.559999881003,31799.310000179998,0.15,colon,0.15,colon,0.15,3716.0339999821504,4769.896500026999,1053.8625000448487,0.0,False,1.8622065949335518,0.5425139727763225,3561.858121259487,4498.014964146643,604.8001104906615
45333,59006.749999871,75131.25000052,542.0,0.0,0.0,0.0,59006.749999871,75131.25000052,0.15,colon,0.15,colon,0.15,8851.012499980648,11269.687500078,2418.6750000973516,0.0,False,1.5260723595181909,0.6315795904705818,8483.7896409389,8779.735594480806,1677.0356549963333
45334,386782.43000358,493588.77999494004,3244.0,0.0,0.0,0.0,386782.43000358,493588.77999494004,0.15,colon,0.15,colon,0.15,58017.364500537,74038.316999241,16020.952498703999,0.0,False,1.7315773014869313,0.5744978040150379,55610.26107977005,65300.00844979531,9999.254550089556
45335,220185.73000041198,278685.92999871,2999.0,0.0,0.0,0.0,220185.73000041198,278685.92999871,0.15,colon,0.15,colon,0.15,33027.85950006179,41802.8894998065,8775.029999744707,0.0,False,1.3951045426406123,0.6347013407806699,31657.554691016678,29950.255934450874,6288.848012341441
45336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45337,143854.280000055,183639.7499931,1665.0,0.0,0.0,0.0,143854.280000055,183639.7499931,0.15,colon,0.15,colon,0.15,21578.14200000825,27545.962498965,5967.820498956749,0.0,False,2.010079247081746,0.5004174312405406,20682.878661710038,28192.95402611973,3239.423517176325
45338,1155454.78001546,1466333.20001502,6550.0,0.0,0.0,0.0,1155454.78001546,1466333.20001502,0.15,colon,0.15,colon,0.15,173318.217002319,219949.980002253,46631.762999934,0.0,False,1.417954037965062,0.625088798999757,166127.35480754197,159742.222673373,32501.782833227655
45339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,colon,0.15,colon,0.15,0.0,0.0,0.0,0.0,False,1.43,0.7,0.0,0.0,0.0
45340,108148.069999585,139545.25999976997,1076.0,0.0,0.0,0.0,108148.069999585,139545.25999976997,0.15,colon,0.15,colon,0.15,16222.21049993775,20931.788999965494,4709.578500027745,0.0,False,1.5884980861150195,0.5927393095069903,15549.161340897783,16749.81771560896,2884.6625551230445
