HCPCS_CD,paid,allowed,services
G0123,1055236.78,1076943.31,66872.0
G0124,800429.99,814904.8,41687.0
G0141,40249.04,39093.72,1865.0
G0143,6600.99,6546.1,390.0
G0144,37962.29,38121.99,1398.0
G0145,8864341.5,9088163.54,428488.0
G0147,949.76,952.05,105.0
G0148,313.0,127.75999999999999,54.0
G0289,156346.44,75482.19,1159.0
G0328,6159558.86,6321028.18,406285.0
P3000,15947.95,15101.32,1405.0
P3001,16321.62,14305.86,789.0
Q0091,16470608.73,16591879.57,475308.0
