HCPCS_CD,mod1,paid,services,hcpcs_total_paid,paid_share
20553,AG,79728.83,1543.0,14499497.67,0.005498730494985486
20553,AQ,5537.56,126.0,14499497.67,0.0003819139204703221
20553,AS,0.0,0.0,14499497.67,0.0
20553,CC,658.24,0.0,14499497.67,4.539743479264962e-05
20553,CG,110.88,0.0,14499497.67,7.64716147576718e-06
20553,CR,9388.369999999999,263.0,14499497.67,0.0006474962246054141
20553,F1,45.08,0.0,14499497.67,3.1090732262588788e-06
20553,F2,109.48,0.0,14499497.67,7.550606406628707e-06
20553,F3,48.26,0.0,14499497.67,3.328391169016271e-06
20553,F4,91.37,0.0,14499497.67,6.301597619416012e-06
20553,F5,49.01,0.0,14499497.67,3.3801170989118822e-06
20553,F6,0.0,0.0,14499497.67,0.0
20553,F7,52.46,0.0,14499497.67,3.618056376431695e-06
20553,F8,131.66,0.0,14499497.67,9.080314573408252e-06
20553,F9,95.96000000000001,0.0,14499497.67,6.618160310377153e-06
20553,FA,36.59,0.0,14499497.67,2.5235356998405587e-06
20553,GA,100796.05,2102.0,14499497.67,0.006951692554739381
20553,GC,106584.73,2542.0,14499497.67,0.007350925695896884
20553,GE,51.34,0.0,14499497.67,3.5408123211209154e-06
20553,GF,20.88,0.0,14499497.67,1.4400498882938197e-06
20553,GLOBAL,11451899.8,290371.0,14499497.67,0.7898135549684875
20553,GT,0.0,0.0,14499497.67,0.0
20553,GV,1257.3600000000001,0.0,14499497.67,8.671748695139451e-05
20553,GW,9943.77,15.0,14499497.67,0.0006858009998907777
20553,GX,0.0,0.0,14499497.67,0.0
20553,GY,0.0,424.0,14499497.67,0.0
20553,GZ,0.0,265.0,14499497.67,0.0
20553,JZ,727.81,0.0,14499497.67,5.019553204976652e-05
20553,KX,4366.53,194.0,14499497.67,0.000301150432889445
20553,LT,123002.91,2289.0,14499497.67,0.008483253199488255
20553,MH,369.92,0.0,14499497.67,2.5512607982646066e-05
20553,PD,32.8,0.0,14499497.67,2.2621473341014024e-06
20553,PN,158.94,0.0,14499497.67,1.0961759063477955e-05
20553,PO,129.14,0.0,14499497.67,8.906515448958997e-06
20553,Q0,57.23,0.0,14499497.67,3.947033290567783e-06
20553,Q1,36.99,0.0,14499497.67,2.5511228624515517e-06
20553,Q5,148.06,0.0,14499497.67,1.0211388240458955e-05
20553,Q6,3840.03,19.0,14499497.67,0.0002648388301027259
20553,QJ,25.34,0.0,14499497.67,1.7476467514063885e-06
20553,RT,138940.2,2673.0,14499497.67,0.009582414726509626
20553,SA,2132.0299999999997,47.0,14499497.67,0.000147041645753787
20553,SC,102.24,0.0,14499497.67,7.051278763369738e-06
20553,SG,555.77,0.0,14499497.67,3.833029341077855e-05
20553,T2,0.0,0.0,14499497.67,0.0
20553,T4,0.0,0.0,14499497.67,0.0
20553,UA,3806.31,78.0,14499497.67,0.0002625132322946192
20553,UD,0.0,0.0,14499497.67,0.0
20553,X1,1694.02,43.0,14499497.67,0.0001168330130156847
20553,X2,24667.95,561.0,14499497.67,0.0017012968698245944
20553,X4,5769.74,118.0,14499497.67,0.0003979268890078728
20553,X5,161.37,0.0,14499497.67,1.1129351076339737e-05
20553,XE,12747.51,284.0,14499497.67,0.0008791690781381394
20553,XP,64.96000000000001,0.0,14499497.67,4.480155208025218e-06
20553,XS,155350.66,4782.0,14499497.67,0.010714209797862605
20553,XU,52593.64,1559.0,14499497.67,0.003627273247460027
29877,22,2700.18,0.0,1442146.17,0.0018723344804916688
29877,50,9076.92,0.0,1442146.17,0.00629403606154569
29877,51,5232.3,31.0,1442146.17,0.0036281343104076617
29877,54,578.46,0.0,1442146.17,0.0004011105198857894
29877,58,1178.89,0.0,1442146.17,0.0008174552791691013
29877,59,11628.5,38.0,1442146.17,0.008063329669280334
29877,76,1103.43,0.0,1442146.17,0.0007651304860449757
29877,77,345.92,0.0,1442146.17,0.00023986472882981066
29877,78,8547.78,0.0,1442146.17,0.005927124571568221
29877,79,15586.42,0.0,1442146.17,0.010807794885313186
29877,80,149.07999999999998,0.0,1442146.17,0.00010337371003107125
29877,82,34.39,0.0,1442146.17,2.3846403863486322e-05
29877,AG,502.19,0.0,1442146.17,0.00034822406386170965
29877,AQ,493.71,0.0,1442146.17,0.00034234393868688083
29877,AS,10945.94,110.0,1442146.17,0.0075900350655856205
29877,CC,158.64,0.0,1442146.17,0.00011000271907250566
29877,GC,1250.88,0.0,1442146.17,0.0008673739361662626
29877,GLOBAL,85165.72,12.0,1442146.17,0.05905484601467271
29877,GY,0.0,0.0,1442146.17,0.0
29877,GZ,1099.38,0.0,1442146.17,0.0007623221715452049
29877,LT,585531.12,408.0,1442146.17,0.40601371218841154
29877,Q6,492.79,0.0,1442146.17,0.00034170600057829094
29877,RT,648318.82,483.0,1442146.17,0.4495513932544022
29877,SG,49104.08,0.0,1442146.17,0.0340493086078785
29877,XE,0.0,0.0,1442146.17,0.0
29877,XS,1686.94,0.0,1442146.17,0.0011697427314181336
29877,XU,1233.69,0.0,1442146.17,0.0008554542012894575
29879,22,3754.13,0.0,3304025.16,0.0011362292410630433
29879,50,10237.75,0.0,3304025.16,0.003098569019371511
29879,51,59849.11,28.0,3304025.16,0.018113999470875698
29879,58,3142.58,0.0,3304025.16,0.0009511368248781737
29879,59,193165.89,71.0,3304025.16,0.058463807218707746
29879,76,2729.6,0.0,3304025.16,0.0008261438299701083
29879,77,585.23,0.0,3304025.16,0.00017712637515145314
29879,78,1480.6,0.0,3304025.16,0.00044812007424301813
29879,79,26698.25,0.0,3304025.16,0.008080522607158355
29879,80,1180.53,0.0,3304025.16,0.00035730054791713507
29879,81,0.0,0.0,3304025.16,0.0
29879,82,0.0,0.0,3304025.16,0.0
29879,A2,566.3,0.0,3304025.16,0.00017139699989451653
29879,AS,34391.06,444.0,3304025.16,0.010408837201469736
29879,GC,523.83,0.0,3304025.16,0.00015854298155526154
29879,GLOBAL,190288.1,201.0,3304025.16,0.057592812035365974
29879,GW,496.72,0.0,3304025.16,0.0001503378382263893
29879,GY,0.0,0.0,3304025.16,0.0
29879,LT,1329055.76,1646.0,3304025.16,0.4022535227909705
29879,RT,1352756.61,1705.0,3304025.16,0.4094268489166106
29879,SG,76088.24,94.0,3304025.16,0.023028952963542203
29879,XE,2864.03,0.0,3304025.16,0.0008668305661449625
29879,XS,11792.52,0.0,3304025.16,0.0035691374698853685
29879,XU,2378.32,0.0,3304025.16,0.0007198250269982811
29880,22,10154.55,0.0,25542269.15,0.0003975586483865706
29880,50,54536.3,0.0,25542269.15,0.002135139195336527
29880,51,100035.51,222.0,25542269.15,0.003916469183396731
29880,53,448.25,0.0,25542269.15,1.754934134346478e-05
29880,54,1319.47,0.0,25542269.15,5.1658292074649133e-05
29880,58,6944.34,0.0,25542269.15,0.00027187639278321524
29880,59,300656.29,347.0,25542269.15,0.011770931088164498
29880,74,2590.5299999999997,0.0,25542269.15,0.00010142129443499345
29880,78,5896.13,0.0,25542269.15,0.00023083814383813273
29880,79,109041.12,0.0,25542269.15,0.0042690459238231
