HCPCS_CD,pos_group,paid,services,hcpcs_total_paid,paid_share
37236,er,9423.66,0.0,5530691.39,0.0017038846204723782
37236,hopd_on_campus,1410140.42,1355.0,5530691.39,0.25496639037746055
37236,inpatient,1312514.02,867.0,5530691.39,0.23731463707650485
37236,office,2133369.74,408.0,5530691.39,0.3857329200933774
37236,other,5973.78,0.0,5530691.39,0.0010801145062624801
37236,rehab_inp,309.12,0.0,5530691.39,5.589174629394753e-05
45330,asc,1056528.44,13016.0,2663462.78,0.39667475285688053
45330,er,2666.85,0.0,2663462.78,0.0010012717354360777
45330,hopd_on_campus,483381.48,10423.0,2663462.78,0.18148610283940217
45330,indep_clinic,91.33,0.0,2663462.78,3.42899479150972e-05
45330,inpatient,397250.87,8193.0,2663462.78,0.14914827155947719
45330,office,663080.97,4095.0,2663462.78,0.2489544719675039
45330,other,60399.28,978.0,2663462.78,0.022676975422198316
45330,rehab_inp,21.66,0.0,2663462.78,8.13227057747734e-06
45330,snf,41.9,0.0,2663462.78,1.5731400609247485e-05
45331,asc,2930258.89,13697.0,4103357.27,0.7141125418016551
45331,custodial,205.94,0.0,4103357.27,5.0188171891744634e-05
45331,er,1216.6,0.0,4103357.27,0.0002964889284427334
45331,hopd_on_campus,437240.54,7011.0,4103357.27,0.10655678051645744
45331,indep_clinic,265.74,0.0,4103357.27,6.476160434355744e-05
45331,inpatient,364277.76,5579.0,4103357.27,0.08877554061969359
45331,office,326720.15,1019.0,4103357.27,0.07962264275369813
45331,other,43059.13,368.0,4103357.27,0.010493634155331543
45331,psy_partial,0.0,0.0,4103357.27,0.0
45331,rehab_inp,54.96,0.0,4103357.27,1.3393910494174446e-05
45331,snf,57.56,0.0,4103357.27,1.4027537992079349e-05
45332,asc,5426.7699999999995,0.0,25821.64,0.2101636456863313
45332,er,719.21,0.0,25821.64,0.02785299462001639
45332,hopd_on_campus,9432.47,0.0,25821.64,0.36529321917585406
45332,inpatient,9108.13,0.0,25821.64,0.35273243682430705
45332,office,961.01,0.0,25821.64,0.03721723329734285
45332,other,174.05,0.0,25821.64,0.006740470396148348
45333,asc,28469.66,0.0,59006.75,0.48248141102500985
45333,hopd_on_campus,13528.03,11.0,59006.75,0.2292624148932114
45333,inpatient,3034.52,0.0,59006.75,0.05142665881445767
45333,office,9306.65,0.0,59006.75,0.15772178606684828
45333,other,4667.89,38.0,59006.75,0.07910772920047283
45334,asc,116664.03,40.0,384196.62,0.30365709620246006
45334,er,2470.87,0.0,384196.62,0.006431264283376569
45334,hopd_on_campus,89882.84,479.0,384196.62,0.23395010606808564
45334,inpatient,130690.08,727.0,384196.62,0.34016457510740206
45334,office,41903.49,56.0,384196.62,0.10906782573985163
