hcpcs,category,OPPS_rate,PFS_office_rate,HOPD_prof_fee,HOPD_total,differential,HOPD_volume,eligible,eligibility_share,savings,description,booked
77077,imaging,106.34,44.96,15.85,122.19,77.23,13304,1,1.0,1027443.3076,Joint survey single view,False
71111,imaging,106.34,50.78,14.88,121.22,70.44,14586,1,1.0,1027370.5256099999,X-ray exam ribs/chest4/> vws,False
78707,imaging,538.27,206.05,42.37,580.64,374.6,2706,1,1.0,1013658.69726,K flow/funct image w/o drug,False
78453,imaging,1305.48,255.86,44.31,1349.79,1093.93,833,1,1.0,911246.93037,Ht muscle image planar sing,False
78709,imaging,538.27,321.52,62.11,600.38,278.85,3262,1,1.0,909612.19034,K flow/funct image multiple,False
74150,imaging,106.34,134.24,54.02,160.36,26.12,32901,1,1.0,859396.4926800007,Ct abdomen w/o contrast,False
70355,imaging,88.05,18.44,9.7,97.75,79.32,10780,1,1.0,855031.2771000001,Panoramic x-ray of jaws,False
73010,imaging,106.34,23.29,8.41,114.75,91.46,9285,1,1.0,849211.76385,X-ray exam of shoulder blade,False
20604,minor_proc,295.19,80.87,44.96,340.15,259.29,3272,1,1.0,848381.7797200001,Drain/inj joint/bursa w/us,True
72285,imaging,1952.77,127.77,53.7,2006.47,1878.7,449,1,1.0,843534.7352349999,Discography cerv/thor spine,False
73223,imaging,357.13,378.45,98.66,455.79,77.33,9439,1,1.0,729944.0632250003,Mri joint upr extr w/o&w/dye,False
78071,imaging,401.83,304.7,53.37,455.2,150.5,4681,1,1.0,704479.7102950001,Parathyrd planar w/wo subtrj,False
70490,imaging,106.34,147.82,58.55,164.89,17.06,41038,1,1.0,700258.47908,Ct soft tissue neck w/o dye,False
73565,imaging,88.05,38.82,8.09,96.14,57.32,11896,1,1.0,681888.5342,X-ray exam of knees,False
72265,imaging,790.06,104.8,38.49,828.55,723.75,937,1,1.0,678153.4454750001,Myelography l-s spine,False
70220,imaging,88.05,36.55,10.03,98.08,61.53,10326,1,1.0,635316.13362,X-ray exam of sinuses,False
71110,imaging,106.34,42.37,13.26,119.6,77.23,8180,1,1.0,631726.267,X-ray exam ribs bil 3 views,False
78300,imaging,401.83,196.67,28.14,429.97,233.3,2615,1,1.0,610091.8820249999,Bone imaging limited area,False
