hrr,year,n_hospitals_x,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_y,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil
87,2023,5,3065.203508451823,5669.173324297202,2603.9698158453793,True,True,0.3265313899133644,4,0.153,1.0,0.153,0.04995930265674475
154,2025,6,2897.4897727357097,5353.146879106683,2455.657106370973,True,True,0.2674252242998536,3,0.153,1.0,0.153,0.040916059317877604
254,2023,21,3545.1634279126183,5928.934975515304,2383.771547602686,True,True,0.5949352659617617,8,0.153,1.0,0.153,0.09102509569214955
332,2020,7,2504.2722410968795,4565.213735952049,2060.94149485517,True,True,0.5373084575430985,7,0.153,1.0,0.153,0.08220819400409407
292,2025,5,3207.459819516038,5214.894763753956,2007.434944237918,True,True,0.2302182707269462,3,0.153,1.0,0.153,0.03522339542122277
275,2021,24,1975.0950244091134,3469.393559862296,1494.2985354531827,False,True,0.3578908909273642,13,0.095,1.0,0.095,0.0339996346380996
355,2024,17,1909.9956776822207,3346.4512499761636,1436.4555722939429,False,True,0.8901746034283333,6,0.095,1.0,0.095,0.08456658732569167
194,2025,21,2013.0819915445659,3333.5425201899975,1320.4605286454316,False,True,1.2504082790911344,11,0.095,1.0,0.095,0.11878878651365776
399,2023,21,1555.8022670090863,2836.063581498939,1280.2613144898528,False,True,0.41879216510355227,6,0.095,1.0,0.095,0.03978525568483746
129,2024,14,1649.254982325663,2925.963098526331,1276.7081162006682,False,True,0.6556497893299642,8,0.095,1.0,0.095,0.0622867299863466
245,2025,12,2099.4747500540857,3369.0233755732174,1269.5486255191317,False,True,1.709414000708437,8,0.095,1.0,0.095,0.16239433006730153
78,2021,8,2092.6793981481483,3361.0050154320993,1268.325617283951,False,True,0.8291669137661648,4,0.095,1.0,0.095,0.07877085680778566
175,2020,6,2054.171065339952,3307.512185260888,1253.3411199209363,False,True,0.235730166407382,3,0.095,1.0,0.095,0.02239436580870129
83,2020,7,2039.265492844068,3226.7329416530365,1187.4674488089686,False,True,0.236907398039089,3,0.095,1.0,0.095,0.022506202813713454
164,2025,10,1760.6325478432348,2909.01461257889,1148.3820647356554,False,True,0.7122741958961828,6,0.095,1.0,0.095,0.06766604861013736
104,2019,13,1568.2795221154886,2674.5269361861924,1106.2474140707038,False,True,0.6086742936928574,6,0.095,1.0,0.095,0.05782405790082146
197,2024,15,1612.989639503354,2685.858893388956,1072.869253885602,False,True,0.3955584351054004,9,0.095,1.0,0.095,0.03757805133501304
456,2021,11,2174.926903931816,3214.264689529766,1039.3377855979502,False,True,0.46659420079567687,7,0.095,1.0,0.095,0.0443264490755893
413,2019,27,1278.7739974834167,2307.546961146707,1028.7729636632903,False,False,1.137846426091531,13,0.08,1.0,0.08,0.09102771408732249
221,2021,41,1777.7936791341929,2773.860392412909,996.066713278716,False,True,0.975006384952645,20,0.095,1.0,0.095,0.09262560657050128
270,2023,37,1133.2782630960096,2097.5147619842655,964.2364988882559,False,False,1.7224878210940517,18,0.08,1.0,0.08,0.13779902568752414
163,2021,7,1657.40153915799,2618.3793571751917,960.9778180172016,False,True,0.8522615830588967,6,0.095,1.0,0.095,0.08096485039059519
368,2019,25,1242.1643395881292,2169.8888176639343,927.7244780758051,False,False,1.8559783339961604,19,0.08,1.0,0.08,0.14847826671969283
133,2021,16,1239.545733608212,2157.7534166728383,918.2076830646263,False,False,0.2966353253001014,8,0.08,1.0,0.08,0.02373082602400811
422,2023,25,1170.71875,2062.554687499999,891.8359374999991,False,False,0.7546291263760752,16,0.08,1.0,0.08,0.060370330110086017
18,2019,17,1300.235094615948,2185.979111265271,885.7440166493232,False,False,0.383292325682508,9,0.08,1.0,0.08,0.03066338605460064
263,2020,16,1261.85500560958,2136.232231067224,874.3772254576438,False,False,0.5333335978812694,11,0.08,1.0,0.08,0.04266668783050156
62,2019,19,2669.5323474131264,3542.4473017977953,872.9149543846688,True,True,0.5191961320157189,9,0.095,1.0,0.095,0.049323632541493294
91,2019,12,1489.1054135690792,2349.1425129839354,860.0370994148561,False,False,1.0613797976066972,9,0.08,1.0,0.08,0.08491038380853577
452,2019,15,1369.4162737723548,2217.1364270510417,847.7201532786869,False,False,0.3174770091238492,8,0.08,1.0,0.08,0.025398160729907936
122,2024,8,1604.0312475526664,2443.466598793954,839.4353512412874,False,False,0.6358560371944425,7,0.08,1.0,0.08,0.0508684829755554
285,2025,23,1453.3113305500972,2271.8978550749334,818.5865245248362,False,False,1.5572905884514399,12,0.08,1.0,0.08,0.12458324707611519
450,2021,21,1411.564683107482,2229.812305361502,818.2476222540197,False,False,0.6050935524872963,15,0.08,1.0,0.08,0.04840748419898371
146,2020,23,1434.4249575139704,2250.4471120073044,816.022154493334,False,False,0.5183237888304283,11,0.08,1.0,0.08,0.04146590310643426
420,2022,32,1207.7928581678243,2013.1004535031655,805.3075953353411,False,False,0.3404244719100969,15,0.08,1.0,0.08,0.027233957752807753
261,2024,18,1283.9314285714283,2088.8685714285707,804.9371428571424,False,False,0.18417940064653318,8,0.08,1.0,0.08,0.014734352051722655
31,2022,13,1465.1875081005176,2237.6528622478368,772.4653541473192,False,False,0.6798178246616253,5,0.08,1.0,0.08,0.05438542597293003
320,2025,34,941.1641843792822,1684.478093150796,743.3139087715138,False,False,2.657096915656638,19,0.08,1.0,0.08,0.21256775325253105
22,2025,33,978.110952761698,1710.7335944775693,732.6226417158714,False,False,0.29673593573736606,11,0.08,1.0,0.08,0.023738874858989286
16,2020,28,1032.837165496202,1758.1294404291475,725.2922749329455,False,False,0.43850385490117594,17,0.08,1.0,0.08,0.03508030839209408
212,2020,20,1189.5867488269544,1913.7656170501439,724.1788682231895,False,False,0.328399038275836,11,0.08,1.0,0.08,0.026271923062066882
145,2019,32,1360.9739878096227,2084.5453553709144,723.5713675612917,False,False,1.1874324422565554,16,0.08,1.0,0.08,0.09499459538052443
406,2022,43,935.4178287748728,1658.1263677919937,722.708539017121,False,False,0.3760238675103136,14,0.08,1.0,0.08,0.03008190940082509
106,2022,25,1163.936831399828,1879.5293117891335,715.5924803893056,False,False,0.6475894605832657,15,0.08,1.0,0.08,0.05180715684666126
170,2022,24,1089.4046138699168,1800.4315427321117,711.0269288621948,False,False,1.2138829745853454,14,0.08,1.0,0.08,0.09711063796682763
158,2025,10,1385.3120740954562,2083.7835456565986,698.4714715611424,False,False,0.8890443369631003,9,0.08,1.0,0.08,0.07112354695704802
358,2023,15,1359.4370209957626,2057.4591492370373,698.0221282412747,False,False,0.9297412303953151,10,0.08,1.0,0.08,0.0743792984316252
388,2019,18,1229.1319831604176,1922.1122988871423,692.9803157267247,False,False,0.4131545539571489,8,0.08,1.0,0.08,0.033052364316571915
411,2025,36,1498.4198725752779,2166.334408733058,667.91453615778,False,False,0.32227475122803667,12,0.08,1.0,0.08,0.025781980098242934
238,2019,32,1821.405414781537,2477.3093263828764,655.9039116013394,False,False,1.0293909387269495,15,0.08,1.0,0.08,0.08235127509815597
336,2022,18,1073.9718236971878,1720.846413686129,646.8745899889411,False,False,0.2824450135180699,8,0.08,1.0,0.08,0.02259560108144559
304,2024,34,944.4059157920283,1574.5676586943675,630.1617429023393,False,False,3.1586105301245793,17,0.08,1.0,0.08,0.25268884240996636
214,2023,26,1017.4956623759434,1636.5846472412973,619.0889848653538,False,False,0.3336728264515529,10,0.08,1.0,0.08,0.026693826116124232
220,2021,15,1109.8833629486103,1697.504323713272,587.6209607646617,False,False,0.2128356727125964,9,0.08,1.0,0.08,0.017026853817007713
119,2025,26,1023.1288746653318,1605.5835408015953,582.4546661362635,False,False,1.8119714131626696,16,0.08,1.0,0.08,0.14495771305301358
82,2025,21,1279.3822705409261,1860.5560115365747,581.1737409956486,False,False,3.1763818046560637,9,0.08,1.0,0.08,0.2541105443724851
21,2021,26,950.9073515769944,1530.5200075898124,579.612656012818,False,False,0.6570955561084624,13,0.08,1.0,0.08,0.05256764448867699
321,2019,43,725.68401601144,1304.5723777784497,578.8883617670097,False,False,0.5518069492807864,19,0.07,1.0,0.07,0.03862648644965506
374,2025,22,1708.6353815249552,2278.8740978000064,570.2387162750513,False,False,0.4737574221980369,14,0.08,1.0,0.08,0.037900593775842956
280,2021,58,804.3647599072981,1355.8151967358215,551.4504368285234,False,False,1.339275041216128,26,0.07,1.0,0.07,0.09374925288512898
342,2025,27,999.6545662738731,1550.3448592797984,550.6902930059252,False,False,1.220174235585779,13,0.08,1.0,0.08,0.09761393884686231
386,2019,32,868.1804136155932,1411.1494333365488,542.9690197209555,False,False,0.45890903781027853,10,0.07,1.0,0.07,0.032123632646719504
267,2024,33,754.520970985349,1294.847026716461,540.326055731112,False,False,0.5619575643144759,14,0.07,1.0,0.07,0.039337029502013315
102,2023,47,764.6609203143582,1302.0097911712253,537.348870856867,False,False,1.2274876611802086,19,0.07,1.0,0.07,0.08592413628261461
322,2021,67,687.1376636242816,1221.983261940343,534.8455983160615,False,False,1.4813470742781172,34,0.07,1.0,0.07,0.10369429519946821
288,2020,16,1129.0418299369426,1662.850554009701,533.8087240727584,False,False,1.8861399176799203,10,0.08,1.0,0.08,0.15089119341439364
161,2025,15,1043.448255060092,1573.520001141493,530.071746081401,False,False,1.9602497605397016,7,0.08,1.0,0.08,0.15681998084317614
367,2021,21,863.3270529430425,1377.3766385308054,514.0495855877629,False,False,0.7190163273704427,9,0.07,1.0,0.07,0.050331142915931
130,2020,71,689.893568341634,1200.3405148260013,510.44694648436723,False,False,7.659623049357346,48,0.07,1.0,0.07,0.5361736134550142
382,2019,38,919.0571135932523,1429.395516558077,510.3384029648246,False,False,0.4700117907499527,14,0.07,1.0,0.07,0.03290082535249669
43,2019,28,955.8903398389817,1465.7633259630065,509.8729861240248,False,False,2.056762167865429,10,0.07,1.0,0.07,0.14397335175058004
373,2025,35,807.889874595416,1315.2893539840952,507.3994793886792,False,False,1.121420966545282,12,0.07,1.0,0.07,0.07849946765816974
196,2020,30,758.0496215207661,1265.0535539259097,507.0039324051436,False,False,0.3969313169375396,16,0.07,1.0,0.07,0.027785192185627774
390,2022,39,982.5237943541849,1484.7118130655172,502.18801871133223,False,False,1.0456098081669902,10,0.07,1.0,0.07,0.07319268657168933
7,2020,20,928.0267907206551,1426.8384845063697,498.8116937857146,False,False,0.5923687526899867,13,0.07,1.0,0.07,0.04146581268829907
309,2019,40,740.7591693728824,1227.599247461114,486.8400780882315,False,False,1.210535938661971,17,0.07,1.0,0.07,0.08473751570633797
109,2019,13,1083.4498324602475,1566.2290654830915,482.779233022844,False,False,1.302514363005915,7,0.08,1.0,0.08,0.1042011490404732
89,2019,17,957.4723959457059,1438.6685851264122,481.19618918070626,False,False,0.7835874427440064,8,0.07,1.0,0.07,0.05485112099208045
155,2020,12,992.0931118702396,1470.304997366814,478.2118854965744,False,False,1.2154217427521365,5,0.07,1.0,0.07,0.08507952199264956
383,2023,55,726.9480381843118,1204.59346254064,477.64542435632825,False,False,0.5916853346932656,26,0.07,1.0,0.07,0.04141797342852859
200,2023,46,867.3969754253309,1342.3100189035913,474.9130434782604,False,False,0.7287554960506613,18,0.07,1.0,0.07,0.051012884723546294
192,2019,73,792.0032670433555,1259.7769164609183,467.77364941756275,False,False,1.7086919716317788,39,0.07,1.0,0.07,0.11960843801422452
346,2020,30,860.0590570464943,1316.3153254435106,456.25626839701624,False,False,2.857407423996254,14,0.07,1.0,0.07,0.2000185196797378
216,2023,44,778.0351846243501,1224.550140110172,446.5149554858218,False,False,0.8316936590540916,16,0.07,1.0,0.07,0.058218556133786424
171,2020,27,753.7265151907251,1196.5270948708655,442.80057968014046,False,False,1.2200886161425866,14,0.07,1.0,0.07,0.08540620312998107
166,2019,21,1139.6782144233568,1578.666279887267,438.98806546391006,False,False,2.4524167906563985,16,0.08,1.0,0.08,0.1961933432525119
6,2021,33,771.0819818836001,1201.8432734908665,430.76129160726646,False,False,1.0569521834925852,19,0.07,1.0,0.07,0.07398665284448097
330,2020,41,750.3818612423896,1180.5060397060056,430.124178463616,False,False,2.15985362512775,24,0.07,1.0,0.07,0.15118975375894253
447,2022,28,768.3745359965658,1196.8597874913378,428.485251494772,False,False,2.1629699662852504,15,0.07,1.0,0.07,0.15140789763996754
209,2019,43,698.5173103153095,1121.1138418373203,422.59653152201076,False,False,0.4631778301881832,22,0.07,1.0,0.07,0.032422448113172825
181,2024,24,981.0703816686695,1400.7407373731403,419.6703557044708,False,False,0.8518485580982786,12,0.07,1.0,0.07,0.05962939906687951
335,2019,26,760.5993064710603,1172.6643392965084,412.06503282544804,False,False,0.7323415119682106,13,0.07,1.0,0.07,0.05126390583777475
350,2019,26,828.4105567044082,1233.2671321226017,404.8565754181934,False,False,1.4956610139667874,14,0.07,1.0,0.07,0.10469627097767513
222,2021,40,640.7341307516199,1045.0475658081516,404.3134350565317,False,False,2.4433116485158957,21,0.07,1.0,0.07,0.1710318153961127
365,2025,26,843.4742499780463,1246.9004645116195,403.4262145335732,False,False,2.9652769042456852,18,0.07,1.0,0.07,0.20756938329719798
457,2022,28,690.9294031710568,1091.317633915596,400.3882307445391,False,False,0.2868775948344056,14,0.07,1.0,0.07,0.020081431638408396
334,2019,33,712.6204301424785,1107.2243057900043,394.6038756475258,False,False,1.75584849984941,23,0.07,1.0,0.07,0.1229093949894587
360,2023,18,860.7918399040071,1252.7288484858161,391.937008581809,False,False,0.44144946869061974,7,0.07,1.0,0.07,0.030901462808343386
147,2019,42,610.2301124531446,1000.7275614327363,390.4974489795917,False,False,0.9092976186026032,20,0.07,1.0,0.07,0.06365083330218223
10,2021,48,653.6782114922731,1021.3074622979752,367.6292508057021,False,False,1.225752561073676,24,0.07,1.0,0.07,0.08580267927515732
149,2019,37,679.6535431637606,1042.2877696719274,362.6342265081669,False,False,1.3080818375477434,22,0.07,1.0,0.07,0.09156572862834204
340,2020,97,526.3077060368331,864.7481914664465,338.44048542961343,False,False,2.371991973473699,51,0.07,1.0,0.07,0.16603943814315894
323,2020,35,807.4217160940282,1133.5599429981855,326.13822690415736,False,False,0.3820359147773253,15,0.07,1.0,0.07,0.026742514034412773
217,2021,47,637.824343178483,957.226662792428,319.402319613945,False,False,0.4029738611325505,19,0.07,1.0,0.07,0.02820817027927854
172,2023,49,586.073081391534,903.2109649105882,317.1378835190543,False,False,1.4127543855585056,25,0.07,1.0,0.07,0.0988928069890954
11,2019,35,640.9273805221652,941.3470369871089,300.4196564649437,False,False,1.8800486466595783,21,0.07,1.0,0.07,0.13160340526617048
232,2019,35,647.9678386228696,946.461035209459,298.4931965865894,False,False,3.818237401398339,14,0.07,1.0,0.07,0.2672766180978837
393,2019,54,530.3557676015828,825.5311077719174,295.1753401703346,False,False,1.623054787820274,27,0.07,1.0,0.07,0.11361383514741918
412,2019,106,489.4376578852595,774.3947347914526,284.9570769061931,False,False,3.9452233856556314,43,0.07,1.0,0.07,0.27616563699589425
179,2019,49,549.3658448486171,816.8634325408251,267.49758769220796,False,False,1.4470469356584075,24,0.07,1.0,0.07,0.10129328549608853
379,2023,81,521.2457243414713,785.2935656560326,264.0478413145613,False,False,2.1273129735502367,44,0.07,1.0,0.07,0.1489119081485166
416,2022,44,498.030983131843,759.7198527921583,261.68886966031533,False,False,1.0652625608741983,17,0.07,1.0,0.07,0.07456837926119389
400,2021,76,465.199178881939,717.1606318049081,251.9614529229691,False,False,1.1653204723791353,34,0.07,1.0,0.07,0.08157243306653948
299,2019,44,546.9950189660076,797.5457211438031,250.55070217779553,False,False,1.9795178018521986,18,0.07,1.0,0.07,0.1385662461296539
449,2019,50,589.724087481214,835.5766413228991,245.8525538416851,False,False,2.5193905751911783,29,0.07,1.0,0.07,0.17635734026338248
210,2020,90,451.4580416196522,692.5362881097183,241.07824649006608,False,False,1.5824141836440528,38,0.07,1.0,0.07,0.11076899285508371
201,2022,180,366.9936144809809,606.5473297812389,239.55371530025798,False,False,1.7516046628083854,87,0.07,1.0,0.07,0.12261232639658699
81,2025,39,581.1679863202112,819.6233792271728,238.4553929069616,False,False,5.039934001066071,20,0.07,1.0,0.07,0.352795380074625
15,2019,50,535.4495480321151,772.082779958315,236.63323192619987,False,False,1.6736034605215149,22,0.07,1.0,0.07,0.11715224223650605
284,2020,24,642.7093252245777,874.5704539882063,231.86112876362859,False,False,2.7636679690736186,16,0.07,1.0,0.07,0.19345675783515331
123,2023,52,527.7481894064848,750.4729988987509,222.7248094922661,False,False,3.299001109206208,28,0.07,1.0,0.07,0.2309300776444346
183,2020,128,357.6035791706368,580.1863906602628,222.58281148962595,False,False,6.966933773107035,69,0.07,1.0,0.07,0.4876853641174925
301,2024,58,389.7511823444441,609.9791284868776,220.2279461424335,False,False,7.744456572866734,30,0.07,1.0,0.07,0.5421119601006714
307,2025,38,563.1296001346775,775.9096549287185,212.780054794041,False,False,1.7524094393837812,18,0.07,1.0,0.07,0.1226686607568647
19,2022,115,453.8340798589707,666.1843962828704,212.35031642389964,False,False,2.6465274462352317,58,0.07,1.0,0.07,0.18525692123646623
366,2019,37,575.0829692661504,780.7520873775246,205.66911811137425,False,False,1.9589336401343198,23,0.07,1.0,0.07,0.1371253548094024
282,2025,26,614.026720410965,819.0307452519627,205.00402484099766,False,False,1.529658832423993,16,0.07,1.0,0.07,0.10707611826967953
80,2025,67,470.0242339015492,673.1845423628022,203.16030846125295,False,False,6.481199593632542,31,0.07,1.0,0.07,0.45368397155427803
96,2024,27,677.0332527831923,879.5324772806476,202.49922449745532,False,False,1.1178397565904843,7,0.07,1.0,0.07,0.0782487829613339
371,2019,132,300.21091077669536,500.0729081461932,199.86199736949783,False,False,2.3017259047227174,65,0.07,0.9993099868474892,0.06995169907932425,0.16100963785024888
311,2019,46,560.7753771970257,760.4154243849295,199.64004718790375,False,False,4.963272289498952,26,0.07,0.9982002359395188,0.06987401651576632,0.34680376992869505
264,2024,48,440.2749786792462,633.1972801244672,192.92230144522097,False,False,1.4076512948124829,20,0.07,0.9646115072261048,0.06752280550582734,0.0950485645996493
295,2024,59,402.60786098207774,590.8033075303583,188.1954465482806,False,False,2.864068618815091,23,0.07,0.9409772327414029,0.0658684062918982,0.18865163543198812
77,2019,46,466.2798092118197,649.0508731966589,182.7710639848392,False,False,5.938364254119535,30,0.07,0.913855319924196,0.06396987239469372,0.3798764035692372
