hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
73718,1,plant,0.35,0.35,0.35,14931624.399720589,0.0,14931624.399720589,19435216.410340093,5226068.539902206,5226068.539902206,5226068.539902206,1576257.2037168266
73719,1,plant,0.35,0.35,0.35,96022.0000011,0.0,96022.0000011,124336.439998985,33607.700000385,33607.700000385,33607.700000385,9910.053999259755
73720,1,plant,0.35,0.35,0.35,7786325.910073847,0.0,7786325.910073847,10042501.379887242,2725214.068525846,2725214.068525846,2725214.068525846,789661.4144346882
75552,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75553,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75554,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75555,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75556,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75557,2,"preopst,stress",0.4,0.45,0.5,279172.360000124,0.0,279172.360000124,364504.7899916,111668.94400004961,125627.56200005581,139586.180000062,38399.593496164176
75558,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75559,2,"preopst,stress",0.4,0.45,0.5,2551.9700000000003,0.0,2551.9700000000003,3326.84,1020.7880000000001,1148.3865,1275.9850000000001,348.69150000000013
75560,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75561,2,"preopst,stress",0.4,0.45,0.5,5799639.620005678,0.0,5799639.620005678,7503713.35012854,2319855.8480022713,2609837.8290025555,2899819.810002839,766833.1785552874
75562,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75563,2,"preopst,stress",0.4,0.45,0.5,713182.90998108,0.0,713182.90998108,930925.92001356,285273.163992432,320932.309491486,356591.45499054,97984.35451461602
75564,2,"preopst,stress",0.4,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75574,2,"preopst,stress",0.4,0.45,0.5,21129107.46020018,0.0,21129107.46020018,27424422.5302815,8451642.984080072,9508098.35709008,10564553.73010009,2832891.781536594
