year,drugs_matched,total_claims,total_benes,medicare_spending,est_otc_cost,potential_savings,pct_savings
2019,15,73444703.0,24987393.0,3448818850.5799994,1180466010.4514802,2268352840.128519,65.8
2020,15,77028492.0,24864340.0,3440089338.03,1300056489.42072,2140032848.60928,62.2
2021,15,78394118.0,25787519.0,3587688433.629998,1354104529.3701696,2233583904.2598286,62.3
2022,15,80308227.0,27089200.0,3390475320.6899977,1389663093.48582,2000812227.2041776,59.0
2023,15,83215300.0,28465480.0,3007284907.5000014,1437956206.20786,1569328701.2921414,52.2
