year,drugs_matched,total_claims,medicare_spending,est_otc_cost,potential_savings,pct_savings
2019,21,70448160.0,2190982038.66,1139650806.51648,1051331232.1435199,48.0
2020,21,74032628.0,2099360698.2400002,1258137410.54572,841223287.6942801,40.1
2021,21,75504024.0,2126912167.0600004,1312411413.9810698,814500753.0789306,38.3
2022,21,77590165.0,2112072674.8199997,1350911014.58398,761161660.2360196,36.0
2023,21,80782869.0,2002406047.2299995,1403716562.7318602,598689484.4981394,29.9
